,config,benchmark,network_type,encoding,configuration,k,n_nodes,n_edges,n_vars,n_clauses,n_groups,n_Avars,utime,max_res_set_size,exit_status
287,config-0,ca-Erdos992.mtx,collaboration,,,8,6100.0,7515.0,67028.0,136878.0,6100.0,54828.0,23.7,132048,0
339,config-0,ca-Erdos992.mtx,collaboration,,,10,6100.0,7515.0,79190.0,161200.0,6100.0,66990.0,24.18,139328,0
391,config-0,ca-Erdos992.mtx,collaboration,,,12,6100.0,7515.0,91344.0,185506.0,6100.0,79144.0,26.54,147388,0
443,config-0,ca-Erdos992.mtx,collaboration,,,16,6100.0,7515.0,115628.0,234070.0,6100.0,103428.0,31.26,173460,0
25,config-0,ca-GrQc.mtx,collaboration,,,1,4158.0,13422.0,8478.0,43854.0,4158.0,162.0,15.93,105896,0
77,config-0,ca-GrQc.mtx,collaboration,,,2,4158.0,13422.0,16693.0,57350.0,4158.0,8377.0,17.61,108932,0
129,config-0,ca-GrQc.mtx,collaboration,,,3,4158.0,13422.0,18100.0,62911.0,4158.0,9784.0,15.61,109808,0
181,config-0,ca-GrQc.mtx,collaboration,,,4,4158.0,13422.0,19757.0,68469.0,4158.0,11441.0,25.23,107268,0
233,config-0,ca-GrQc.mtx,collaboration,,,6,4158.0,13422.0,25769.0,76775.0,4158.0,17453.0,28.51,111928,0
285,config-0,ca-GrQc.mtx,collaboration,,,8,4158.0,13422.0,28829.0,84437.0,4158.0,20513.0,28.14,113792,0
337,config-0,ca-GrQc.mtx,collaboration,,,10,4158.0,13422.0,32029.0,91775.0,4158.0,23713.0,30.71,115408,0
389,config-0,ca-GrQc.mtx,collaboration,,,12,4158.0,13422.0,34827.0,97262.0,4158.0,26511.0,28.33,117676,0
441,config-0,ca-GrQc.mtx,collaboration,,,16,4158.0,13422.0,41579.0,107904.0,4158.0,33263.0,29.05,119444,0
26,config-0,ca-citeseer.mtx,collaboration,,,1,227320.0,814134.0,455722.0,2539712.0,227320.0,1082.0,391.25,1579048,0
78,config-0,ca-citeseer.mtx,collaboration,,,2,227320.0,814134.0,909254.0,6629000.0,227320.0,454614.0,495.62,2595336,0
130,config-0,ca-citeseer.mtx,collaboration,,,3,227320.0,814134.0,909254.0,6628999.0,227320.0,454614.0,464.54,2538052,0
182,config-0,ca-citeseer.mtx,collaboration,,,4,227320.0,814134.0,909254.0,6629000.0,227320.0,454614.0,466.84,2595348,0
234,config-0,ca-citeseer.mtx,collaboration,,,6,227320.0,814134.0,909254.0,6628999.0,227320.0,454614.0,901.17,2594748,0
286,config-0,ca-citeseer.mtx,collaboration,,,8,227320.0,814134.0,909254.0,6629000.0,227320.0,454614.0,537.25,2595344,0
338,config-0,ca-citeseer.mtx,collaboration,,,10,227320.0,814134.0,909254.0,6628999.0,227320.0,454614.0,473.46,2595304,0
390,config-0,ca-citeseer.mtx,collaboration,,,12,227320.0,814134.0,909254.0,6628999.0,227320.0,454614.0,466.67,2595332,0
442,config-0,ca-citeseer.mtx,collaboration,,,16,227320.0,814134.0,909254.0,6629000.0,227320.0,454614.0,465.96,2595324,0
28,config-0,ca-dblp-2010.mtx,collaboration,,,1,226413.0,716460.0,453906.0,2340732.0,226413.0,1080.0,273.3,1401384,0
80,config-0,ca-dblp-2010.mtx,collaboration,,,2,226413.0,716460.0,905630.0,6413712.0,226413.0,452804.0,709.6,2425696,0
132,config-0,ca-dblp-2010.mtx,collaboration,,,3,226413.0,716460.0,905630.0,6413711.0,226413.0,452804.0,443.11,2431828,0
184,config-0,ca-dblp-2010.mtx,collaboration,,,4,226413.0,716460.0,905630.0,6413712.0,226413.0,452804.0,409.96,2431836,0
236,config-0,ca-dblp-2010.mtx,collaboration,,,6,226413.0,716460.0,905630.0,6413711.0,226413.0,452804.0,394.48,2425688,0
288,config-0,ca-dblp-2010.mtx,collaboration,,,8,226413.0,716460.0,905630.0,6413712.0,226413.0,452804.0,388.68,2425688,0
340,config-0,ca-dblp-2010.mtx,collaboration,,,10,226413.0,716460.0,905630.0,6413711.0,226413.0,452804.0,397.35,2431828,0
392,config-0,ca-dblp-2010.mtx,collaboration,,,12,226413.0,716460.0,905630.0,6413711.0,226413.0,452804.0,383.79,2425696,0
444,config-0,ca-dblp-2010.mtx,collaboration,,,16,226413.0,716460.0,905630.0,6413712.0,226413.0,452804.0,382.29,2425692,0
30,config-0,ca-netscience.mtx,collaboration,,,1,379.0,914.0,815.0,3454.0,379.0,57.0,2.93,48828,0
82,config-0,ca-netscience.mtx,collaboration,,,2,379.0,914.0,1517.0,4601.0,379.0,759.0,3.77,48828,0
134,config-0,ca-netscience.mtx,collaboration,,,3,379.0,914.0,1644.0,5103.0,379.0,886.0,3.72,48828,0
186,config-0,ca-netscience.mtx,collaboration,,,4,379.0,914.0,1782.0,5603.0,379.0,1024.0,2.5,48836,0
238,config-0,ca-netscience.mtx,collaboration,,,6,379.0,914.0,2334.0,6350.0,379.0,1576.0,2.7,48836,0
290,config-0,ca-netscience.mtx,collaboration,,,8,379.0,914.0,2596.0,7034.0,379.0,1838.0,3.49,48836,0
342,config-0,ca-netscience.mtx,collaboration,,,10,379.0,914.0,2898.0,7691.0,379.0,2140.0,3.77,48840,0
394,config-0,ca-netscience.mtx,collaboration,,,12,379.0,914.0,3173.0,8171.0,379.0,2415.0,3.51,48832,0
446,config-0,ca-netscience.mtx,collaboration,,,16,379.0,914.0,3755.0,9090.0,379.0,2997.0,4.43,48832,0
29,config-0,ca-sandi_auths.mtx,collaboration,,,1,86.0,124.0,198.0,657.0,86.0,26.0,4.68,84212,0
81,config-0,ca-sandi_auths.mtx,collaboration,,,2,86.0,124.0,342.0,871.0,86.0,170.0,15.6,84256,0
133,config-0,ca-sandi_auths.mtx,collaboration,,,3,86.0,124.0,370.0,981.0,86.0,198.0,14.56,84256,0
185,config-0,ca-sandi_auths.mtx,collaboration,,,4,86.0,124.0,398.0,1090.0,86.0,226.0,14.53,84264,0
237,config-0,ca-sandi_auths.mtx,collaboration,,,6,86.0,124.0,517.0,1251.0,86.0,345.0,14.68,84296,0
289,config-0,ca-sandi_auths.mtx,collaboration,,,8,86.0,124.0,570.0,1394.0,86.0,398.0,13.72,84336,0
341,config-0,ca-sandi_auths.mtx,collaboration,,,10,86.0,124.0,640.0,1531.0,86.0,468.0,4.98,84360,0
393,config-0,ca-sandi_auths.mtx,collaboration,,,12,86.0,124.0,688.0,1630.0,86.0,516.0,4.71,84384,0
445,config-0,ca-sandi_auths.mtx,collaboration,,,16,86.0,124.0,801.0,1808.0,86.0,629.0,4.91,84428,0
7,config-0,inf-USAir97.mtx,infrastructure,,,1,332.0,2126.0,719.0,5686.0,332.0,55.0,11.78,83272,0
59,config-0,inf-USAir97.mtx,infrastructure,,,2,332.0,2126.0,1329.0,6680.0,332.0,665.0,21.05,85464,0
111,config-0,inf-USAir97.mtx,infrastructure,,,3,332.0,2126.0,1440.0,7119.0,332.0,776.0,23.68,83496,0
163,config-0,inf-USAir97.mtx,infrastructure,,,4,332.0,2126.0,1563.0,7557.0,332.0,899.0,20.55,83556,0
215,config-0,inf-USAir97.mtx,infrastructure,,,6,332.0,2126.0,2043.0,8209.0,332.0,1379.0,18.98,83652,0
267,config-0,inf-USAir97.mtx,infrastructure,,,8,332.0,2126.0,2275.0,8807.0,332.0,1611.0,17.87,83748,0
319,config-0,inf-USAir97.mtx,infrastructure,,,10,332.0,2126.0,2519.0,9383.0,332.0,1855.0,16.81,83832,0
371,config-0,inf-USAir97.mtx,infrastructure,,,12,332.0,2126.0,2777.0,9800.0,332.0,2113.0,15.13,83896,0
423,config-0,inf-USAir97.mtx,infrastructure,,,16,332.0,2126.0,3287.0,10600.0,332.0,2623.0,12.93,84060,0
12,config-0,power-1138-bus.mtx,power,,,1,1138.0,2596.0,2368.0,7664.0,1138.0,92.0,2.5,83980,0
64,config-0,power-1138-bus.mtx,power,,,2,1138.0,2596.0,4563.0,11258.0,1138.0,2287.0,4.49,86648,0
116,config-0,power-1138-bus.mtx,power,,,3,1138.0,2596.0,4946.0,12775.0,1138.0,2670.0,4.4,87068,0
168,config-0,power-1138-bus.mtx,power,,,4,1138.0,2596.0,5389.0,14291.0,1138.0,3113.0,4.01,87052,0
220,config-0,power-1138-bus.mtx,power,,,6,1138.0,2596.0,7035.0,16555.0,1138.0,4759.0,3.8,87948,0
272,config-0,power-1138-bus.mtx,power,,,8,1138.0,2596.0,7859.0,18639.0,1138.0,5583.0,3.84,88836,0
324,config-0,power-1138-bus.mtx,power,,,10,1138.0,2596.0,8735.0,20645.0,1138.0,6459.0,4.2,89324,0
376,config-0,power-1138-bus.mtx,power,,,12,1138.0,2596.0,9595.0,22118.0,1138.0,7319.0,3.98,91056,0
428,config-0,power-1138-bus.mtx,power,,,16,1138.0,2596.0,11425.0,24948.0,1138.0,9149.0,4.18,91776,0
8,config-0,power-494-bus.mtx,power,,,1,494.0,1080.0,1053.0,3278.0,494.0,65.0,11.07,82860,0
60,config-0,power-494-bus.mtx,power,,,2,494.0,1080.0,1981.0,4790.0,494.0,993.0,13.56,83116,0
112,config-0,power-494-bus.mtx,power,,,3,494.0,1080.0,2148.0,5447.0,494.0,1160.0,13.56,83188,0
164,config-0,power-494-bus.mtx,power,,,4,494.0,1080.0,2341.0,6101.0,494.0,1353.0,15.45,83296,0
216,config-0,power-494-bus.mtx,power,,,6,494.0,1080.0,3033.0,7085.0,494.0,2045.0,10.94,83552,0
268,config-0,power-494-bus.mtx,power,,,8,494.0,1080.0,3383.0,7971.0,494.0,2395.0,10.26,83800,0
320,config-0,power-494-bus.mtx,power,,,10,494.0,1080.0,3783.0,8833.0,494.0,2795.0,10.1,83968,0
372,config-0,power-494-bus.mtx,power,,,12,494.0,1080.0,4083.0,9478.0,494.0,3095.0,9.2,84124,0
424,config-0,power-494-bus.mtx,power,,,16,494.0,1080.0,4889.0,10670.0,494.0,3901.0,11.43,86452,0
11,config-0,power-685-bus.mtx,power,,,1,685.0,1967.0,1445.0,5460.0,685.0,75.0,11.91,83400,0
63,config-0,power-685-bus.mtx,power,,,2,685.0,1967.0,2745.0,7583.0,685.0,1375.0,19.71,83724,0
115,config-0,power-685-bus.mtx,power,,,3,685.0,1967.0,2976.0,8495.0,685.0,1606.0,22.37,83864,0
167,config-0,power-685-bus.mtx,power,,,4,685.0,1967.0,3232.0,9403.0,685.0,1862.0,22.47,84008,0
219,config-0,power-685-bus.mtx,power,,,6,685.0,1967.0,4212.0,10769.0,685.0,2842.0,17.53,84264,0
271,config-0,power-685-bus.mtx,power,,,8,685.0,1967.0,4689.0,12005.0,685.0,3319.0,19.22,84556,0
