,config,benchmark,network_type,encoding,configuration,k,n_nodes,n_edges,n_vars,n_clauses,n_groups,n_Avars,utime,max_res_set_size,exit_status
110,config-0,soccer_ball.txt,geometric,,,3,32.0,90.0,136.0,445.0,32.0,72.0,4.47,48876,0
162,config-0,soccer_ball.txt,geometric,,,4,32.0,90.0,146.0,482.0,32.0,82.0,5.05,48876,0
214,config-0,soccer_ball.txt,geometric,,,6,32.0,90.0,184.0,535.0,32.0,120.0,5.39,48876,0
266,config-0,soccer_ball.txt,geometric,,,8,32.0,90.0,201.0,579.0,32.0,137.0,4.01,48884,0
318,config-0,soccer_ball.txt,geometric,,,10,32.0,90.0,223.0,619.0,32.0,159.0,4.69,48880,0
370,config-0,soccer_ball.txt,geometric,,,12,32.0,90.0,239.0,647.0,32.0,175.0,6.3,48888,0
422,config-0,soccer_ball.txt,geometric,,,16,32.0,90.0,267.0,696.0,32.0,203.0,4.66,48880,0
47,config-0,socfb-Amherst41.mtx,social,,,1,2235.0,90954.0,4593.0,191122.0,2235.0,123.0,30.43,182208,0
99,config-0,socfb-Amherst41.mtx,social,,,2,2235.0,90954.0,8964.0,198308.0,2235.0,4494.0,35.19,183200,0
151,config-0,socfb-Amherst41.mtx,social,,,3,2235.0,90954.0,9726.0,201301.0,2235.0,5256.0,33.77,183624,0
203,config-0,socfb-Amherst41.mtx,social,,,4,2235.0,90954.0,10585.0,204266.0,2235.0,6115.0,33.66,184028,0
255,config-0,socfb-Amherst41.mtx,social,,,6,2235.0,90954.0,13847.0,208761.0,2235.0,9377.0,33.56,184636,0
307,config-0,socfb-Amherst41.mtx,social,,,8,2235.0,90954.0,15439.0,212865.0,2235.0,10969.0,33.56,185176,0
359,config-0,socfb-Amherst41.mtx,social,,,10,2235.0,90954.0,17227.0,216780.0,2235.0,12757.0,33.38,185700,0
411,config-0,socfb-Amherst41.mtx,social,,,12,2235.0,90954.0,18870.0,219694.0,2235.0,14400.0,34.17,186092,0
463,config-0,socfb-Amherst41.mtx,social,,,16,2235.0,90954.0,22516.0,225344.0,2235.0,18046.0,33.26,186836,0
40,config-0,socfb-Bowdoin47.mtx,social,,,1,2252.0,84387.0,4627.0,178056.0,2252.0,123.0,192.3,175376,0
92,config-0,socfb-Bowdoin47.mtx,social,,,2,2252.0,84387.0,9037.0,185298.0,2252.0,4533.0,130.56,176380,0
144,config-0,socfb-Bowdoin47.mtx,social,,,3,2252.0,84387.0,9804.0,188313.0,2252.0,5300.0,85.92,176784,0
196,config-0,socfb-Bowdoin47.mtx,social,,,4,2252.0,84387.0,10675.0,191307.0,2252.0,6171.0,95.45,177204,0
248,config-0,socfb-Bowdoin47.mtx,social,,,6,2252.0,84387.0,13967.0,195819.0,2252.0,9463.0,94.93,177796,0
300,config-0,socfb-Bowdoin47.mtx,social,,,8,2252.0,84387.0,15583.0,199957.0,2252.0,11079.0,93.71,178364,0
352,config-0,socfb-Bowdoin47.mtx,social,,,10,2252.0,84387.0,17347.0,203913.0,2252.0,12843.0,69.99,178892,0
404,config-0,socfb-Bowdoin47.mtx,social,,,12,2252.0,84387.0,19041.0,206854.0,2252.0,14537.0,73.09,179300,0
456,config-0,socfb-Bowdoin47.mtx,social,,,16,2252.0,84387.0,22727.0,212526.0,2252.0,18223.0,68.43,180052,0
46,config-0,socfb-Caltech36.mtx,social,,,1,769.0,16656.0,1616.0,36550.0,769.0,78.0,27.96,97448,0
98,config-0,socfb-Caltech36.mtx,social,,,2,769.0,16656.0,3074.0,38944.0,769.0,1536.0,38.08,97780,0
150,config-0,socfb-Caltech36.mtx,social,,,3,769.0,16656.0,3330.0,39965.0,769.0,1792.0,33.35,97920,0
202,config-0,socfb-Caltech36.mtx,social,,,4,769.0,16656.0,3613.0,40984.0,769.0,2075.0,38.38,98064,0
254,config-0,socfb-Caltech36.mtx,social,,,6,769.0,16656.0,4730.0,42511.0,769.0,3192.0,40.42,100296,0
306,config-0,socfb-Caltech36.mtx,social,,,8,769.0,16656.0,5266.0,43906.0,769.0,3728.0,39.28,100488,0
358,config-0,socfb-Caltech36.mtx,social,,,10,769.0,16656.0,5932.0,45267.0,769.0,4394.0,41.83,98636,0
410,config-0,socfb-Caltech36.mtx,social,,,12,769.0,16656.0,6434.0,46248.0,769.0,4896.0,38.44,98764,0
462,config-0,socfb-Caltech36.mtx,social,,,16,769.0,16656.0,7633.0,48134.0,769.0,6095.0,53.93,99020,0
49,config-0,socfb-Colgate88.mtx,social,,,1,3482.0,155043.0,7115.0,324364.0,3482.0,151.0,288.46,254080,0
101,config-0,socfb-Colgate88.mtx,social,,,2,3482.0,155043.0,13951.0,335630.0,3482.0,6987.0,275.46,255612,0
153,config-0,socfb-Colgate88.mtx,social,,,3,3482.0,155043.0,15128.0,340285.0,3482.0,8164.0,252.17,256276,0
205,config-0,socfb-Colgate88.mtx,social,,,4,3482.0,155043.0,16531.0,344913.0,3482.0,9567.0,168.1,254868,0
257,config-0,socfb-Colgate88.mtx,social,,,6,3482.0,155043.0,21481.0,351891.0,3482.0,14517.0,165.86,257828,0
309,config-0,socfb-Colgate88.mtx,social,,,8,3482.0,155043.0,24033.0,358239.0,3482.0,17069.0,143.65,258696,0
361,config-0,socfb-Colgate88.mtx,social,,,10,3482.0,155043.0,26793.0,364457.0,3482.0,19829.0,135.45,259544,0
413,config-0,socfb-Colgate88.mtx,social,,,12,3482.0,155043.0,29147.0,369038.0,3482.0,22183.0,132.8,260160,0
465,config-0,socfb-Colgate88.mtx,social,,,16,3482.0,155043.0,35033.0,378040.0,3482.0,28069.0,126.02,261340,0
38,config-0,socfb-Hamilton46.mtx,social,,,1,2314.0,96394.0,4753.0,202322.0,2314.0,125.0,33.1,188204,0
90,config-0,socfb-Hamilton46.mtx,social,,,2,2314.0,96394.0,9263.0,209756.0,2314.0,4635.0,33.88,189208,0
142,config-0,socfb-Hamilton46.mtx,social,,,3,2314.0,96394.0,10040.0,212843.0,2314.0,5412.0,35.43,189636,0
194,config-0,socfb-Hamilton46.mtx,social,,,4,2314.0,96394.0,10931.0,215919.0,2314.0,6303.0,34.91,190064,0
246,config-0,socfb-Hamilton46.mtx,social,,,6,2314.0,96394.0,14265.0,220545.0,2314.0,9637.0,34.12,190688,0
298,config-0,socfb-Hamilton46.mtx,social,,,8,2314.0,96394.0,15921.0,224765.0,2314.0,11293.0,34.13,191248,0
350,config-0,socfb-Hamilton46.mtx,social,,,10,2314.0,96394.0,17881.0,228887.0,2314.0,13253.0,33.97,191816,0
402,config-0,socfb-Hamilton46.mtx,social,,,12,2314.0,96394.0,19371.0,231888.0,2314.0,14743.0,34.28,192220,0
454,config-0,socfb-Hamilton46.mtx,social,,,16,2314.0,96394.0,23147.0,237632.0,2314.0,18519.0,32.98,192980,0
35,config-0,socfb-Haverford76.mtx,social,,,1,1446.0,59589.0,2995.0,125188.0,1446.0,103.0,22.46,146496,0
87,config-0,socfb-Haverford76.mtx,social,,,2,1446.0,59589.0,5787.0,129778.0,1446.0,2895.0,27.1,147124,0
139,config-0,socfb-Haverford76.mtx,social,,,3,1446.0,59589.0,6272.0,131705.0,1446.0,3380.0,27.54,147400,0
191,config-0,socfb-Haverford76.mtx,social,,,4,1446.0,59589.0,6811.0,133625.0,1446.0,3919.0,27.38,145624,0
243,config-0,socfb-Haverford76.mtx,social,,,6,1446.0,59589.0,8909.0,136511.0,1446.0,6017.0,26.18,148016,0
295,config-0,socfb-Haverford76.mtx,social,,,8,1446.0,59589.0,9925.0,139143.0,1446.0,7033.0,26.17,148396,0
347,config-0,socfb-Haverford76.mtx,social,,,10,1446.0,59589.0,11093.0,141725.0,1446.0,8201.0,25.78,148744,0
399,config-0,socfb-Haverford76.mtx,social,,,12,1446.0,59589.0,12103.0,143594.0,1446.0,9211.0,25.68,148992,0
451,config-0,socfb-Haverford76.mtx,social,,,16,1446.0,59589.0,14421.0,147256.0,1446.0,11529.0,26.44,149476,0
50,config-0,socfb-Mich67.mtx,social,,,1,3748.0,81903.0,7651.0,179156.0,3748.0,155.0,69.23,174728,0
102,config-0,socfb-Mich67.mtx,social,,,2,3748.0,81903.0,15053.0,191314.0,3748.0,7557.0,107.21,176408,0
154,config-0,socfb-Mich67.mtx,social,,,3,3748.0,81903.0,16332.0,196337.0,3748.0,8836.0,82.69,177104,0
206,config-0,socfb-Mich67.mtx,social,,,4,3748.0,81903.0,17835.0,201331.0,3748.0,10339.0,140.07,179820,0
258,config-0,socfb-Mich67.mtx,social,,,6,3748.0,81903.0,23271.0,208843.0,3748.0,15775.0,109.61,178784,0
310,config-0,socfb-Mich67.mtx,social,,,8,3748.0,81903.0,26023.0,215749.0,3748.0,18527.0,83.66,179716,0
362,config-0,socfb-Mich67.mtx,social,,,10,3748.0,81903.0,28635.0,222369.0,3748.0,21139.0,67.85,180616,0
414,config-0,socfb-Mich67.mtx,social,,,12,3748.0,81903.0,31745.0,227254.0,3748.0,24249.0,71.43,181268,0
466,config-0,socfb-Mich67.mtx,social,,,16,3748.0,81903.0,37991.0,236726.0,3748.0,30495.0,84.02,182532,0
39,config-0,socfb-Middlebury45.mtx,social,,,1,3075.0,124610.0,6291.0,261840.0,3075.0,141.0,119.68,220384,0
91,config-0,socfb-Middlebury45.mtx,social,,,2,3075.0,124610.0,12300.0,271764.0,3075.0,6150.0,120.14,221744,0
143,config-0,socfb-Middlebury45.mtx,social,,,3,3075.0,124610.0,13326.0,275861.0,3075.0,7176.0,119.16,222308,0
195,config-0,socfb-Middlebury45.mtx,social,,,4,3075.0,124610.0,14473.0,279954.0,3075.0,8323.0,118.01,222892,0
247,config-0,socfb-Middlebury45.mtx,social,,,6,3075.0,124610.0,18952.0,286095.0,3075.0,12802.0,113.21,223696,0
299,config-0,socfb-Middlebury45.mtx,social,,,8,3075.0,124610.0,21120.0,291716.0,3075.0,14970.0,109.29,224472,0
351,config-0,socfb-Middlebury45.mtx,social,,,10,3075.0,124610.0,23798.0,297207.0,3075.0,17648.0,110.43,225204,0
403,config-0,socfb-Middlebury45.mtx,social,,,12,3075.0,124610.0,25828.0,301172.0,3075.0,19678.0,227.04,223712,0
455,config-0,socfb-Middlebury45.mtx,social,,,16,3075.0,124610.0,30693.0,308822.0,3075.0,24543.0,240.02,226756,0
44,config-0,socfb-Oberlin44.mtx,social,,,1,2920.0,89912.0,5979.0,191820.0,2920.0,139.0,53.38,183096,0
96,config-0,socfb-Oberlin44.mtx,social,,,2,2920.0,89912.0,11709.0,201248.0,2920.0,5869.0,66.68,184420,0
148,config-0,socfb-Oberlin44.mtx,social,,,3,2920.0,89912.0,12700.0,205155.0,2920.0,6860.0,67.22,184940,0
200,config-0,socfb-Oberlin44.mtx,social,,,4,2920.0,89912.0,13791.0,209037.0,2920.0,7951.0,66.73,185480,0
252,config-0,socfb-Oberlin44.mtx,social,,,6,2920.0,89912.0,18011.0,214897.0,2920.0,12171.0,64.3,186252,0
304,config-0,socfb-Oberlin44.mtx,social,,,8,2920.0,89912.0,20059.0,220211.0,2920.0,14219.0,132.02,186980,0
356,config-0,socfb-Oberlin44.mtx,social,,,10,2920.0,89912.0,22407.0,225419.0,2920.0,16567.0,182.45,187696,0
408,config-0,socfb-Oberlin44.mtx,social,,,12,2920.0,89912.0,24625.0,229220.0,2920.0,18785.0,96.17,188200,0
460,config-0,socfb-Oberlin44.mtx,social,,,16,2920.0,89912.0,29207.0,236656.0,2920.0,23367.0,96.26,189184,0
34,config-0,socfb-Pepperdine86.mtx,social,,,1,3445.0,152007.0,7040.0,318142.0,3445.0,150.0,56.7,250584,0
86,config-0,socfb-Pepperdine86.mtx,social,,,2,3445.0,152007.0,13788.0,329273.0,3445.0,6898.0,56.56,252108,0
138,config-0,socfb-Pepperdine86.mtx,social,,,3,3445.0,152007.0,14939.0,333865.0,3445.0,8049.0,55.53,252760,0
190,config-0,socfb-Pepperdine86.mtx,social,,,4,3445.0,152007.0,16342.0,338456.0,3445.0,9452.0,54.73,253384,0
242,config-0,socfb-Pepperdine86.mtx,social,,,6,3445.0,152007.0,21255.0,345334.0,3445.0,14365.0,55.61,254300,0
294,config-0,socfb-Pepperdine86.mtx,social,,,8,3445.0,152007.0,23807.0,351645.0,3445.0,16917.0,59.15,253116,0
346,config-0,socfb-Pepperdine86.mtx,social,,,10,3445.0,152007.0,26531.0,357804.0,3445.0,19641.0,60.38,255992,0
398,config-0,socfb-Pepperdine86.mtx,social,,,12,3445.0,152007.0,28650.0,362322.0,3445.0,21760.0,58.47,256608,0
450,config-0,socfb-Pepperdine86.mtx,social,,,16,3445.0,152007.0,34574.0,371213.0,3445.0,27684.0,58.32,257776,0
48,config-0,socfb-Reed98.mtx,social,,,1,962.0,18812.0,2011.0,41658.0,962.0,87.0,5.86,102244,0
100,config-0,socfb-Reed98.mtx,social,,,2,962.0,18812.0,3847.0,44672.0,962.0,1923.0,6.94,102736,0
152,config-0,socfb-Reed98.mtx,social,,,3,962.0,18812.0,4168.0,45951.0,962.0,2244.0,6.83,102920,0
204,config-0,socfb-Reed98.mtx,social,,,4,962.0,18812.0,4547.0,47227.0,962.0,2623.0,7.34,103132,0
256,config-0,socfb-Reed98.mtx,social,,,6,962.0,18812.0,5921.0,49141.0,962.0,3997.0,7.13,103392,0
308,config-0,socfb-Reed98.mtx,social,,,8,962.0,18812.0,6617.0,50889.0,962.0,4693.0,7.36,103664,0
360,config-0,socfb-Reed98.mtx,social,,,10,962.0,18812.0,7377.0,52603.0,962.0,5453.0,6.79,103936,0
412,config-0,socfb-Reed98.mtx,social,,,12,962.0,18812.0,8051.0,53828.0,962.0,6127.0,7.46,104100,0
464,config-0,socfb-Reed98.mtx,social,,,16,962.0,18812.0,9611.0,56196.0,962.0,7687.0,6.93,104444,0
31,config-0,socfb-Simmons81.mtx,social,,,1,1518.0,32988.0,3140.0,72276.0,1518.0,104.0,8.03,118380,0
83,config-0,socfb-Simmons81.mtx,social,,,2,1518.0,32988.0,6085.0,77106.0,1518.0,3049.0,15.84,119048,0
135,config-0,socfb-Simmons81.mtx,social,,,3,1518.0,32988.0,6596.0,79131.0,1518.0,3560.0,14.16,119320,0
187,config-0,socfb-Simmons81.mtx,social,,,4,1518.0,32988.0,7165.0,81153.0,1518.0,4129.0,14.89,119600,0
239,config-0,socfb-Simmons81.mtx,social,,,6,1518.0,32988.0,9385.0,84179.0,1518.0,6349.0,13.19,119996,0
291,config-0,socfb-Simmons81.mtx,social,,,8,1518.0,32988.0,10461.0,86961.0,1518.0,7425.0,13.17,120376,0
343,config-0,socfb-Simmons81.mtx,social,,,10,1518.0,32988.0,11677.0,89643.0,1518.0,8641.0,13.24,120740,0
395,config-0,socfb-Simmons81.mtx,social,,,12,1518.0,32988.0,12801.0,91610.0,1518.0,9765.0,13.06,120996,0
447,config-0,socfb-Simmons81.mtx,social,,,16,1518.0,32988.0,15207.0,95396.0,1518.0,12171.0,13.11,123024,0
51,config-0,socfb-Smith60.mtx,social,,,1,2970.0,97133.0,6079.0,206462.0,2970.0,139.0,66.51,190936,0
103,config-0,socfb-Smith60.mtx,social,,,2,2970.0,97133.0,11883.0,216040.0,2970.0,5943.0,81.08,190216,0
155,config-0,socfb-Smith60.mtx,social,,,3,2970.0,97133.0,12874.0,219997.0,2970.0,6934.0,81.19,192804,0
207,config-0,socfb-Smith60.mtx,social,,,4,2970.0,97133.0,13989.0,223953.0,2970.0,8049.0,157.1,193352,0
259,config-0,socfb-Smith60.mtx,social,,,6,2970.0,97133.0,18235.0,229939.0,2970.0,12295.0,177.89,194144,0
311,config-0,socfb-Smith60.mtx,social,,,8,2970.0,97133.0,20333.0,235379.0,2970.0,14393.0,99.28,194880,0
363,config-0,socfb-Smith60.mtx,social,,,10,2970.0,97133.0,22825.0,240637.0,2970.0,16885.0,98.71,195584,0
415,config-0,socfb-Smith60.mtx,social,,,12,2970.0,97133.0,24899.0,244462.0,2970.0,18959.0,90.32,196112,0
467,config-0,socfb-Smith60.mtx,social,,,16,2970.0,97133.0,29481.0,251972.0,2970.0,23541.0,99.61,197112,0
33,config-0,socfb-Swarthmore42.mtx,social,,,1,1659.0,61050.0,3426.0,128972.0,1659.0,108.0,23.48,146704,0
85,config-0,socfb-Swarthmore42.mtx,social,,,2,1659.0,61050.0,6660.0,134276.0,1659.0,3342.0,21.66,149484,0
137,config-0,socfb-Swarthmore42.mtx,social,,,3,1659.0,61050.0,7230.0,136501.0,1659.0,3912.0,22.07,149784,0
189,config-0,socfb-Swarthmore42.mtx,social,,,4,1659.0,61050.0,7897.0,138698.0,1659.0,4579.0,21.81,150092,0
241,config-0,socfb-Swarthmore42.mtx,social,,,6,1659.0,61050.0,10295.0,142041.0,1659.0,6977.0,23.02,150520,0
293,config-0,socfb-Swarthmore42.mtx,social,,,8,1659.0,61050.0,11503.0,145089.0,1659.0,8185.0,21.07,150948,0
345,config-0,socfb-Swarthmore42.mtx,social,,,10,1659.0,61050.0,12715.0,147980.0,1659.0,9397.0,20.97,151328,0
397,config-0,socfb-Swarthmore42.mtx,social,,,12,1659.0,61050.0,13765.0,150163.0,1659.0,10447.0,21.49,151636,0
449,config-0,socfb-Swarthmore42.mtx,social,,,16,1659.0,61050.0,16474.0,154341.0,1659.0,13156.0,20.91,152192,0
42,config-0,socfb-Trinity100.mtx,social,,,1,2613.0,111996.0,5359.0,234748.0,2613.0,133.0,38.84,205360,0
94,config-0,socfb-Trinity100.mtx,social,,,2,2613.0,111996.0,10470.0,243160.0,2613.0,5244.0,42.43,206504,0
146,config-0,socfb-Trinity100.mtx,social,,,3,2613.0,111996.0,11354.0,246653.0,2613.0,6128.0,42.3,207004,0
198,config-0,socfb-Trinity100.mtx,social,,,4,2613.0,111996.0,12341.0,250124.0,2613.0,7115.0,41.39,207472,0
250,config-0,socfb-Trinity100.mtx,social,,,6,2613.0,111996.0,16143.0,255381.0,2613.0,10917.0,40.7,208164,0
302,config-0,socfb-Trinity100.mtx,social,,,8,2613.0,111996.0,17991.0,260177.0,2613.0,12765.0,41.09,208808,0
354,config-0,socfb-Trinity100.mtx,social,,,10,2613.0,111996.0,20101.0,264779.0,2613.0,14875.0,40.2,209436,0
406,config-0,socfb-Trinity100.mtx,social,,,12,2613.0,111996.0,22012.0,268166.0,2613.0,16786.0,39.75,209896,0
458,config-0,socfb-Trinity100.mtx,social,,,16,2613.0,111996.0,26186.0,274764.0,2613.0,20960.0,43.9,208724,0
43,config-0,socfb-USFCA72.mtx,social,,,1,2682.0,65252.0,5498.0,141538.0,2682.0,134.0,16.73,155980,0
95,config-0,socfb-USFCA72.mtx,social,,,2,2682.0,65252.0,10731.0,150166.0,2682.0,5367.0,20.06,157164,0
147,config-0,socfb-USFCA72.mtx,social,,,3,2682.0,65252.0,11626.0,153739.0,2682.0,6262.0,20.76,157676,0
199,config-0,socfb-USFCA72.mtx,social,,,4,2682.0,65252.0,12645.0,157311.0,2682.0,7281.0,20.28,158160,0
251,config-0,socfb-USFCA72.mtx,social,,,6,2682.0,65252.0,16539.0,162663.0,2682.0,11175.0,19.9,158856,0
303,config-0,socfb-USFCA72.mtx,social,,,8,2682.0,65252.0,18451.0,167571.0,2682.0,13087.0,19.62,159532,0
355,config-0,socfb-USFCA72.mtx,social,,,10,2682.0,65252.0,20639.0,172369.0,2682.0,15275.0,19.36,160188,0
407,config-0,socfb-USFCA72.mtx,social,,,12,2682.0,65252.0,22563.0,175810.0,2682.0,17199.0,19.57,160640,0
459,config-0,socfb-USFCA72.mtx,social,,,16,2682.0,65252.0,26825.0,182488.0,2682.0,21461.0,19.51,161532,0
41,config-0,socfb-Vassar85.mtx,social,,,1,3068.0,119161.0,6277.0,250914.0,3068.0,141.0,35.24,214708,0
93,config-0,socfb-Vassar85.mtx,social,,,2,3068.0,119161.0,12273.0,260814.0,3068.0,6137.0,39.69,216064,0
145,config-0,socfb-Vassar85.mtx,social,,,3,3068.0,119161.0,13296.0,264901.0,3068.0,7160.0,39.52,216628,0
197,config-0,socfb-Vassar85.mtx,social,,,4,3068.0,119161.0,14443.0,268987.0,3068.0,8307.0,39.29,217204,0
249,config-0,socfb-Vassar85.mtx,social,,,6,3068.0,119161.0,18915.0,275111.0,3068.0,12779.0,37.44,218004,0
301,config-0,socfb-Vassar85.mtx,social,,,8,3068.0,119161.0,21083.0,280725.0,3068.0,14947.0,37.5,218776,0
353,config-0,socfb-Vassar85.mtx,social,,,10,3068.0,119161.0,23735.0,286201.0,3068.0,17599.0,36.91,219524,0
405,config-0,socfb-Vassar85.mtx,social,,,12,3068.0,119161.0,25805.0,290154.0,3068.0,19669.0,37.7,220040,0
457,config-0,socfb-Vassar85.mtx,social,,,16,3068.0,119161.0,30643.0,297794.0,3068.0,24507.0,37.28,221052,0
45,config-0,socfb-Wellesley22.mtx,social,,,1,2970.0,94899.0,6079.0,201994.0,2970.0,139.0,57.26,188480,0
97,config-0,socfb-Wellesley22.mtx,social,,,2,2970.0,94899.0,11883.0,211572.0,2970.0,5943.0,71.86,189792,0
149,config-0,socfb-Wellesley22.mtx,social,,,3,2970.0,94899.0,12874.0,215529.0,2970.0,6934.0,139.28,188304,0
201,config-0,socfb-Wellesley22.mtx,social,,,4,2970.0,94899.0,13989.0,219485.0,2970.0,8049.0,176.4,190888,0
253,config-0,socfb-Wellesley22.mtx,social,,,6,2970.0,94899.0,18235.0,225471.0,2970.0,12295.0,142.07,191664,0
305,config-0,socfb-Wellesley22.mtx,social,,,8,2970.0,94899.0,20333.0,230911.0,2970.0,14393.0,95.89,192416,0
357,config-0,socfb-Wellesley22.mtx,social,,,10,2970.0,94899.0,22825.0,236169.0,2970.0,16885.0,109.56,193140,0
409,config-0,socfb-Wellesley22.mtx,social,,,12,2970.0,94899.0,24899.0,239994.0,2970.0,18959.0,107.94,193644,0
461,config-0,socfb-Wellesley22.mtx,social,,,16,2970.0,94899.0,29481.0,247504.0,2970.0,23541.0,82.21,194648,0
32,config-0,socfb-Williams40.mtx,social,,,1,2790.0,112986.0,5716.0,237442.0,2790.0,136.0,35.99,207568,0
84,config-0,socfb-Williams40.mtx,social,,,2,2790.0,112986.0,11163.0,246428.0,2790.0,5583.0,40.85,208808,0
136,config-0,socfb-Williams40.mtx,social,,,3,2790.0,112986.0,12096.0,250147.0,2790.0,6516.0,39.49,209328,0
188,config-0,socfb-Williams40.mtx,social,,,4,2790.0,112986.0,13147.0,253859.0,2790.0,7567.0,39.14,209836,0
240,config-0,socfb-Williams40.mtx,social,,,6,2790.0,112986.0,17147.0,259485.0,2790.0,11567.0,44.64,208548,0
292,config-0,socfb-Williams40.mtx,social,,,8,2790.0,112986.0,19123.0,264603.0,2790.0,13543.0,40.65,211272,0
344,config-0,socfb-Williams40.mtx,social,,,10,2790.0,112986.0,21487.0,269521.0,2790.0,15907.0,40.68,211924,0
396,config-0,socfb-Williams40.mtx,social,,,12,2790.0,112986.0,23209.0,273166.0,2790.0,17629.0,40.45,212432,0
448,config-0,socfb-Williams40.mtx,social,,,16,2790.0,112986.0,27709.0,280182.0,2790.0,22129.0,40.5,213364,0
37,config-0,socfb-nips-ego.edges,social,,,1,2888.0,2981.0,5914.0,17828.0,2888.0,138.0,1.69,58184,0
89,config-0,socfb-nips-ego.edges,social,,,2,2888.0,2981.0,11557.0,27138.0,2888.0,5781.0,7.07,60216,0
141,config-0,socfb-nips-ego.edges,social,,,3,2888.0,2981.0,12524.0,30989.0,2888.0,6748.0,6.91,60896,0
193,config-0,socfb-nips-ego.edges,social,,,4,2888.0,2981.0,13607.0,34831.0,2888.0,7831.0,6.9,61572,0
245,config-0,socfb-nips-ego.edges,social,,,6,2888.0,2981.0,17803.0,40603.0,2888.0,12027.0,5.64,63700,0
297,config-0,socfb-nips-ego.edges,social,,,8,2888.0,2981.0,19843.0,45877.0,2888.0,14067.0,5.76,64780,0
349,config-0,socfb-nips-ego.edges,social,,,10,2888.0,2981.0,22191.0,51053.0,2888.0,16415.0,5.63,66068,0
401,config-0,socfb-nips-ego.edges,social,,,12,2888.0,2981.0,24169.0,54798.0,2888.0,18393.0,5.42,67116,0
453,config-0,socfb-nips-ego.edges,social,,,16,2888.0,2981.0,28847.0,62146.0,2888.0,23071.0,5.73,71660,0
19,config-0,web-EPA.edges,webgraph,,,1,4271.0,8909.0,8707.0,35292.0,4271.0,165.0,1.79,68128,0
71,config-0,web-EPA.edges,webgraph,,,2,4271.0,8909.0,17128.0,49162.0,4271.0,8586.0,3.68,70312,0
123,config-0,web-EPA.edges,webgraph,,,3,4271.0,8909.0,18582.0,54883.0,4271.0,10040.0,3.74,71228,0
175,config-0,web-EPA.edges,webgraph,,,4,4271.0,8909.0,20241.0,60556.0,4271.0,11699.0,3.75,72384,0
227,config-0,web-EPA.edges,webgraph,,,6,4271.0,8909.0,26364.0,69133.0,4271.0,17822.0,3.43,76184,0
279,config-0,web-EPA.edges,webgraph,,,8,4271.0,8909.0,29428.0,76910.0,4271.0,20886.0,3.53,78632,0
331,config-0,web-EPA.edges,webgraph,,,10,4271.0,8909.0,32658.0,84557.0,4271.0,24116.0,3.66,81480,0
383,config-0,web-EPA.edges,webgraph,,,12,4271.0,8909.0,35968.0,90140.0,4271.0,27426.0,4.24,82568,0
435,config-0,web-EPA.edges,webgraph,,,16,4271.0,8909.0,42922.0,101125.0,4271.0,34380.0,4.38,86264,0
21,config-0,web-edu.mtx,webgraph,,,1,3031.0,6474.0,6203.0,25392.0,3031.0,141.0,13.19,91652,0
73,config-0,web-edu.mtx,webgraph,,,2,3031.0,6474.0,12153.0,35181.0,3031.0,6091.0,32.59,93012,0
125,config-0,web-edu.mtx,webgraph,,,3,3031.0,6474.0,13176.0,39231.0,3031.0,7114.0,30.29,94364,0
177,config-0,web-edu.mtx,webgraph,,,4,3031.0,6474.0,14314.0,43271.0,3031.0,8252.0,30.21,97044,0
229,config-0,web-edu.mtx,webgraph,,,6,3031.0,6474.0,18758.0,49330.0,3031.0,12696.0,25.37,97972,0
281,config-0,web-edu.mtx,webgraph,,,8,3031.0,6474.0,20908.0,54898.0,3031.0,14846.0,32.87,99912,0
333,config-0,web-edu.mtx,webgraph,,,10,3031.0,6474.0,23354.0,60263.0,3031.0,17292.0,29.19,100828,0
385,config-0,web-edu.mtx,webgraph,,,12,3031.0,6474.0,25593.0,64207.0,3031.0,19531.0,27.67,103284,0
437,config-0,web-edu.mtx,webgraph,,,16,3031.0,6474.0,30431.0,71810.0,3031.0,24369.0,23.25,105152,0
22,config-0,web-indochina-2004.mtx,webgraph,,,1,11358.0,47606.0,23000.0,141192.0,11358.0,284.0,10.84,157220,0
74,config-0,web-indochina-2004.mtx,webgraph,,,2,11358.0,47606.0,56784.0,186062.0,11358.0,34068.0,11.43,161232,0
126,config-0,web-indochina-2004.mtx,webgraph,,,3,11358.0,47606.0,68136.0,208765.0,11358.0,45420.0,11.52,169888,0
178,config-0,web-indochina-2004.mtx,webgraph,,,4,11358.0,47606.0,79486.0,231464.0,11358.0,56770.0,11.97,173320,0
230,config-0,web-indochina-2004.mtx,webgraph,,,6,11358.0,47606.0,102180.0,276850.0,11358.0,79464.0,12.32,186596,0
282,config-0,web-indochina-2004.mtx,webgraph,,,8,11358.0,47606.0,124866.0,322220.0,11358.0,102150.0,13.32,203736,0
334,config-0,web-indochina-2004.mtx,webgraph,,,10,11358.0,47606.0,147544.0,367574.0,11358.0,124828.0,13.66,214704,0
386,config-0,web-indochina-2004.mtx,webgraph,,,12,11358.0,47606.0,170214.0,412912.0,11358.0,147498.0,14.49,224916,0
438,config-0,web-indochina-2004.mtx,webgraph,,,16,11358.0,47606.0,215530.0,503540.0,11358.0,192814.0,15.72,276412,0
23,config-0,web-spam.mtx,webgraph,,,1,4767.0,37375.0,9707.0,94224.0,4767.0,173.0,9.05,131000,0
