,config_enc,benchmark,network_type,encoding,configuration,k,n_nodes,n_edges,n_vars,n_clauses,n_groups,n_Avars,utime_enc,max_res_set_size_enc,exit_status_enc,config_solve,timeout,memory_limit,utime_solve,stime,wtime,max_res_set_size_solve,exit_status_solve,signal,optimised_value,arjun_time,encoding_t/o,encoding_m/o,solving_m/o,solving_t/o,other_error
260,config-0,power-1138-bus.mtx,power,,,8,1138.0,2596.0,7859.0,18639.0,1138.0,5583.0,3.84,88836,0,config-0,7200.0,4000000.0,3.03,0.01,0:03,9268.0,0.0,,2264.0,3.04,False,False,False,False,False
310,config-0,power-1138-bus.mtx,power,,,10,1138.0,2596.0,8735.0,20645.0,1138.0,6459.0,4.2,89324,0,config-0,7200.0,4000000.0,3.71,0.01,0:03,9620.0,0.0,,2272.0,3.71,False,False,False,False,False
360,config-0,power-1138-bus.mtx,power,,,12,1138.0,2596.0,9595.0,22118.0,1138.0,7319.0,3.98,91056,0,config-0,7200.0,4000000.0,3.74,0.02,0:03,10124.0,0.0,,2276.0,3.74,False,False,False,False,False
410,config-0,power-1138-bus.mtx,power,,,16,1138.0,2596.0,11425.0,24948.0,1138.0,9149.0,4.18,91776,0,config-0,7200.0,4000000.0,3.95,0.02,0:03,11272.0,0.0,,2276.0,3.96,False,False,False,False,False
6,config-0,power-494-bus.mtx,power,,,1,494.0,1080.0,1053.0,3278.0,494.0,65.0,11.07,82860,0,config-0,7200.0,4000000.0,0.25,0.0,0:00,3076.0,0.0,,510.0,0.25,False,False,False,False,False
56,config-0,power-494-bus.mtx,power,,,2,494.0,1080.0,1981.0,4790.0,494.0,993.0,13.56,83116,0,config-0,7200.0,4000000.0,0.33,0.01,0:00,3824.0,0.0,,650.0,0.33,False,False,False,False,False
106,config-0,power-494-bus.mtx,power,,,3,494.0,1080.0,2148.0,5447.0,494.0,1160.0,13.56,83188,0,config-0,7200.0,4000000.0,0.37,0.03,0:00,3984.0,0.0,,824.0,0.37,False,False,False,False,False
156,config-0,power-494-bus.mtx,power,,,4,494.0,1080.0,2341.0,6101.0,494.0,1353.0,15.45,83296,0,config-0,7200.0,4000000.0,0.4,0.01,0:00,4248.0,0.0,,908.0,0.41,False,False,False,False,False
206,config-0,power-494-bus.mtx,power,,,6,494.0,1080.0,3033.0,7085.0,494.0,2045.0,10.94,83552,0,config-0,7200.0,4000000.0,0.49,0.01,0:00,4656.0,0.0,,968.0,0.49,False,False,False,False,False
256,config-0,power-494-bus.mtx,power,,,8,494.0,1080.0,3383.0,7971.0,494.0,2395.0,10.26,83800,0,config-0,7200.0,4000000.0,0.46,0.01,0:00,4816.0,0.0,,986.0,0.47,False,False,False,False,False
306,config-0,power-494-bus.mtx,power,,,10,494.0,1080.0,3783.0,8833.0,494.0,2795.0,10.1,83968,0,config-0,7200.0,4000000.0,0.49,0.0,0:00,5164.0,0.0,,988.0,0.50,False,False,False,False,False
356,config-0,power-494-bus.mtx,power,,,12,494.0,1080.0,4083.0,9478.0,494.0,3095.0,9.2,84124,0,config-0,7200.0,4000000.0,0.45,0.02,0:00,5344.0,0.0,,988.0,0.45,False,False,False,False,False
406,config-0,power-494-bus.mtx,power,,,16,494.0,1080.0,4889.0,10670.0,494.0,3901.0,11.43,86452,0,config-0,7200.0,4000000.0,0.55,0.01,0:00,5816.0,0.0,,988.0,0.55,False,False,False,False,False
9,config-0,power-685-bus.mtx,power,,,1,685.0,1967.0,1445.0,5460.0,685.0,75.0,11.91,83400,0,config-0,7200.0,4000000.0,0.57,0.01,0:00,3812.0,0.0,,548.0,0.57,False,False,False,False,False
59,config-0,power-685-bus.mtx,power,,,2,685.0,1967.0,2745.0,7583.0,685.0,1375.0,19.71,83724,0,config-0,7200.0,4000000.0,0.8,0.01,0:00,4936.0,0.0,,824.0,0.80,False,False,False,False,False
109,config-0,power-685-bus.mtx,power,,,3,685.0,1967.0,2976.0,8495.0,685.0,1606.0,22.37,83864,0,config-0,7200.0,4000000.0,0.96,0.01,0:00,5332.0,0.0,,1058.0,0.96,False,False,False,False,False
159,config-0,power-685-bus.mtx,power,,,4,685.0,1967.0,3232.0,9403.0,685.0,1862.0,22.47,84008,0,config-0,7200.0,4000000.0,0.98,0.01,0:01,5632.0,0.0,,1252.0,0.99,False,False,False,False,False
209,config-0,power-685-bus.mtx,power,,,6,685.0,1967.0,4212.0,10769.0,685.0,2842.0,17.53,84264,0,config-0,7200.0,4000000.0,1.07,0.01,0:01,6116.0,0.0,,1366.0,1.07,False,False,False,False,False
259,config-0,power-685-bus.mtx,power,,,8,685.0,1967.0,4689.0,12005.0,685.0,3319.0,19.22,84556,0,config-0,7200.0,4000000.0,1.02,0.04,0:01,6192.0,0.0,,1370.0,1.02,False,False,False,False,False
309,config-0,power-685-bus.mtx,power,,,10,685.0,1967.0,5259.0,13210.0,685.0,3889.0,16.39,84860,0,config-0,7200.0,4000000.0,0.95,0.02,0:01,6504.0,0.0,,1370.0,0.96,False,False,False,False,False
359,config-0,power-685-bus.mtx,power,,,12,685.0,1967.0,5688.0,14101.0,685.0,4318.0,17.27,86952,0,config-0,7200.0,4000000.0,0.95,0.03,0:01,6828.0,0.0,,1370.0,0.95,False,False,False,False,False
409,config-0,power-685-bus.mtx,power,,,16,685.0,1967.0,6786.0,15771.0,685.0,5416.0,20.19,85484,0,config-0,7200.0,4000000.0,1.15,0.01,0:01,7504.0,0.0,,1370.0,1.15,False,False,False,False,False
11,config-0,power-US-Grid.mtx,power,,,1,4941.0,6594.0,10057.0,33362.0,4941.0,175.0,10.01,100532,0,config-0,7200.0,4000000.0,52.77,0.07,0:53,15628.0,0.0,,4866.0,52.77,False,False,False,False,False
61,config-0,power-US-Grid.mtx,power,,,2,4941.0,6594.0,19812.0,49431.0,4941.0,9930.0,17.27,104152,0,config-0,7200.0,4000000.0,53.77,0.14,0:53,22988.0,0.0,,6452.0,53.76,False,False,False,False,False
111,config-0,power-US-Grid.mtx,power,,,3,4941.0,6594.0,21475.0,56031.0,4941.0,11593.0,17.97,104488,0,config-0,7200.0,4000000.0,65.25,0.05,1:05,24772.0,0.0,,8016.0,65.24,False,False,False,False,False
161,config-0,power-US-Grid.mtx,power,,,4,4941.0,6594.0,23390.0,62630.0,4941.0,13508.0,21.62,107856,0,config-0,7200.0,4000000.0,86.72,0.05,1:26,27444.0,0.0,,8974.0,86.72,False,False,False,False,False
211,config-0,power-US-Grid.mtx,power,,,6,4941.0,6594.0,30567.0,72500.0,4941.0,20685.0,19.88,110180,0,config-0,7200.0,4000000.0,98.32,0.23,1:38,34300.0,0.0,,9646.0,98.32,False,False,False,False,False
261,config-0,power-US-Grid.mtx,power,,,8,4941.0,6594.0,34143.0,81587.0,4941.0,24261.0,18.69,112040,0,config-0,7200.0,4000000.0,86.41,0.09,1:26,34700.0,0.0,,9820.0,86.40,False,False,False,False,False
311,config-0,power-US-Grid.mtx,power,,,10,4941.0,6594.0,37955.0,90378.0,4941.0,28073.0,17.23,114144,0,config-0,7200.0,4000000.0,91.7,0.28,1:32,38440.0,0.0,,9862.0,91.69,False,False,False,False,False
361,config-0,power-US-Grid.mtx,power,,,12,4941.0,6594.0,41378.0,96840.0,4941.0,31496.0,16.65,117324,0,config-0,7200.0,4000000.0,102.41,0.05,1:42,40736.0,0.0,,9874.0,102.41,False,False,False,False,False
411,config-0,power-US-Grid.mtx,power,,,16,4941.0,6594.0,49366.0,109451.0,4941.0,39484.0,29.3,123580,0,config-0,7200.0,4000000.0,102.46,0.05,1:42,44984.0,0.0,,9880.0,102.45,False,False,False,False,False
8,config-0,power-bcspwr09.mtx,power,,,1,1723.0,4117.0,3556.0,11920.0,1723.0,110.0,2.5,90852,0,config-0,7200.0,4000000.0,3.93,0.04,0:04,6584.0,0.0,,1850.0,3.93,False,False,False,False,False
58,config-0,power-bcspwr09.mtx,power,,,2,1723.0,4117.0,6894.0,17417.0,1723.0,3448.0,2.99,91604,0,config-0,7200.0,4000000.0,5.12,0.04,0:05,9108.0,0.0,,2288.0,5.12,False,False,False,False,False
108,config-0,power-bcspwr09.mtx,power,,,3,1723.0,4117.0,7469.0,19711.0,1723.0,4023.0,3.35,91920,0,config-0,7200.0,4000000.0,5.53,0.02,0:05,9928.0,0.0,,2770.0,5.53,False,False,False,False,False
158,config-0,power-bcspwr09.mtx,power,,,4,1723.0,4117.0,8168.0,22004.0,1723.0,4722.0,3.41,92240,0,config-0,7200.0,4000000.0,8.61,0.04,0:08,10920.0,0.0,,3106.0,8.61,False,False,False,False,False
208,config-0,power-bcspwr09.mtx,power,,,6,1723.0,4117.0,10623.0,25438.0,1723.0,7177.0,3.2,94740,0,config-0,7200.0,4000000.0,7.14,0.01,0:07,12484.0,0.0,,3362.0,7.14,False,False,False,False,False
258,config-0,power-bcspwr09.mtx,power,,,8,1723.0,4117.0,11895.0,28587.0,1723.0,8449.0,3.44,95168,0,config-0,7200.0,4000000.0,12.2,0.06,0:12,13680.0,0.0,,3428.0,12.20,False,False,False,False,False
308,config-0,power-bcspwr09.mtx,power,,,10,1723.0,4117.0,13259.0,31660.0,1723.0,9813.0,3.41,95592,0,config-0,7200.0,4000000.0,8.9,0.05,0:09,13828.0,0.0,,3438.0,8.90,False,False,False,False,False
358,config-0,power-bcspwr09.mtx,power,,,12,1723.0,4117.0,14312.0,33912.0,1723.0,10866.0,3.41,93860,0,config-0,7200.0,4000000.0,10.78,0.02,0:10,14492.0,0.0,,3444.0,10.78,False,False,False,False,False
408,config-0,power-bcspwr09.mtx,power,,,16,1723.0,4117.0,17264.0,38341.0,1723.0,13818.0,3.65,96556,0,config-0,7200.0,4000000.0,8.9,0.02,0:08,16412.0,0.0,,3446.0,8.90,False,False,False,False,False
7,config-0,power-eris1176.mtx,power,,,1,1176.0,9864.0,2445.0,22278.0,1176.0,93.0,5.63,90724,0,config-0,7200.0,4000000.0,1.64,0.02,0:01,6108.0,0.0,,1290.0,1.64,False,False,False,False,False
57,config-0,power-eris1176.mtx,power,,,2,1176.0,9864.0,4717.0,26000.0,1176.0,2365.0,7.8,91240,0,config-0,7200.0,4000000.0,1.93,0.03,0:02,7744.0,0.0,,1874.0,1.93,False,False,False,False,False
107,config-0,power-eris1176.mtx,power,,,3,1176.0,9864.0,5116.0,27571.0,1176.0,2764.0,7.96,91456,0,config-0,7200.0,4000000.0,2.01,0.03,0:02,8016.0,0.0,,2174.0,2.01,False,False,False,False,False
157,config-0,power-eris1176.mtx,power,,,4,1176.0,9864.0,5567.0,29133.0,1176.0,3215.0,8.53,91664,0,config-0,7200.0,4000000.0,2.11,0.01,0:02,8568.0,0.0,,2196.0,2.11,False,False,False,False,False
207,config-0,power-eris1176.mtx,power,,,6,1176.0,9864.0,7243.0,31489.0,1176.0,4891.0,7.8,91976,0,config-0,7200.0,4000000.0,3.19,0.04,0:03,9728.0,0.0,,2244.0,3.19,False,False,False,False,False
257,config-0,power-eris1176.mtx,power,,,8,1176.0,9864.0,8075.0,33619.0,1176.0,5723.0,7.91,92268,0,config-0,7200.0,4000000.0,3.32,0.01,0:03,10312.0,0.0,,2348.0,3.32,False,False,False,False,False
307,config-0,power-eris1176.mtx,power,,,10,1176.0,9864.0,9031.0,35699.0,1176.0,6679.0,8.2,92556,0,config-0,7200.0,4000000.0,3.21,0.01,0:03,11112.0,0.0,,2350.0,3.21,False,False,False,False,False
357,config-0,power-eris1176.mtx,power,,,12,1176.0,9864.0,9769.0,37244.0,1176.0,7417.0,7.82,92908,0,config-0,7200.0,4000000.0,4.26,0.01,0:04,12224.0,0.0,,2350.0,4.26,False,False,False,False,False
407,config-0,power-eris1176.mtx,power,,,16,1176.0,9864.0,11711.0,40136.0,1176.0,9359.0,7.94,95672,0,config-0,7200.0,4000000.0,4.41,0.02,0:04,12620.0,0.0,,2352.0,4.41,False,False,False,False,False
15,config-0,road-chesapeake.mtx,road,,,1,39.0,170.0,91.0,532.0,39.0,13.0,3.35,82176,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1772.0,0.0,,30.0,0.00,False,False,False,False,False
65,config-0,road-chesapeake.mtx,road,,,2,39.0,170.0,153.0,618.0,39.0,75.0,8.62,84224,0,config-0,7200.0,4000000.0,0.0,0.01,0:00,1828.0,0.0,,68.0,0.01,False,False,False,False,False
115,config-0,road-chesapeake.mtx,road,,,3,39.0,170.0,165.0,665.0,39.0,87.0,10.15,84208,0,config-0,7200.0,4000000.0,0.01,0.01,0:00,1836.0,0.0,,78.0,0.01,False,False,False,False,False
165,config-0,road-chesapeake.mtx,road,,,4,39.0,170.0,177.0,711.0,39.0,99.0,11.13,84216,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1832.0,0.0,,78.0,0.01,False,False,False,False,False
215,config-0,road-chesapeake.mtx,road,,,6,39.0,170.0,225.0,779.0,39.0,147.0,11.2,84228,0,config-0,7200.0,4000000.0,0.0,0.01,0:00,1908.0,0.0,,78.0,0.01,False,False,False,False,False
265,config-0,road-chesapeake.mtx,road,,,8,39.0,170.0,247.0,837.0,39.0,169.0,12.89,84228,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1900.0,0.0,,78.0,0.00,False,False,False,False,False
315,config-0,road-chesapeake.mtx,road,,,10,39.0,170.0,273.0,889.0,39.0,195.0,9.94,84264,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1904.0,0.0,,78.0,0.01,False,False,False,False,False
365,config-0,road-chesapeake.mtx,road,,,12,39.0,170.0,289.0,926.0,39.0,211.0,9.64,84256,0,config-0,7200.0,4000000.0,0.0,0.01,0:00,1912.0,0.0,,78.0,0.01,False,False,False,False,False
415,config-0,road-chesapeake.mtx,road,,,16,39.0,170.0,333.0,990.0,39.0,255.0,9.21,84268,0,config-0,7200.0,4000000.0,0.0,0.01,0:00,1984.0,0.0,,78.0,0.01,False,False,False,False,False
12,config-0,road-euroroad.edges,road,,,1,1174.0,1417.0,2441.0,7728.0,1174.0,93.0,6.01,51592,0,config-0,7200.0,4000000.0,1.57,0.02,0:02,5048.0,0.0,,1050.0,1.57,False,False,False,False,False
62,config-0,road-euroroad.edges,road,,,2,1174.0,1417.0,4709.0,11444.0,1174.0,2361.0,13.69,52164,0,config-0,7200.0,4000000.0,1.98,0.03,0:02,6812.0,0.0,,1380.0,1.98,False,False,False,False,False
112,config-0,road-euroroad.edges,road,,,3,1174.0,1417.0,5108.0,13013.0,1174.0,2760.0,11.39,54424,0,config-0,7200.0,4000000.0,2.33,0.01,0:02,7120.0,0.0,,1936.0,2.34,False,False,False,False,False
162,config-0,road-euroroad.edges,road,,,4,1174.0,1417.0,5557.0,14571.0,1174.0,3209.0,10.49,54676,0,config-0,7200.0,4000000.0,2.48,0.03,0:02,7660.0,0.0,,2166.0,2.48,False,False,False,False,False
212,config-0,road-euroroad.edges,road,,,6,1174.0,1417.0,7233.0,16923.0,1174.0,4885.0,9.19,55216,0,config-0,7200.0,4000000.0,3.62,0.01,0:03,8700.0,0.0,,2330.0,3.62,False,False,False,False,False
262,config-0,road-euroroad.edges,road,,,8,1174.0,1417.0,8063.0,19049.0,1174.0,5715.0,9.45,55736,0,config-0,7200.0,4000000.0,3.51,0.03,0:03,9360.0,0.0,,2346.0,3.51,False,False,False,False,False
312,config-0,road-euroroad.edges,road,,,10,1174.0,1417.0,9019.0,21125.0,1174.0,6671.0,10.51,56228,0,config-0,7200.0,4000000.0,2.94,0.01,0:02,9888.0,0.0,,2346.0,2.94,False,False,False,False,False
362,config-0,road-euroroad.edges,road,,,12,1174.0,1417.0,9747.0,22668.0,1174.0,7399.0,8.94,56604,0,config-0,7200.0,4000000.0,4.34,0.02,0:04,11268.0,0.0,,2348.0,4.34,False,False,False,False,False
412,config-0,road-euroroad.edges,road,,,16,1174.0,1417.0,11697.0,25556.0,1174.0,9349.0,11.71,57312,0,config-0,7200.0,4000000.0,3.77,0.04,0:04,11540.0,0.0,,2348.0,3.77,False,False,False,False,False
14,config-0,road-luxembourg-osm.mtx,road,,,1,114599.0,119666.0,229986.0,699296.0,114599.0,788.0,93.53,536620,0,config-0,7200.0,4000000.0,7189.08,1.6,2:00:00,336868.0,124.0,,-1.0,,False,False,False,True,False
64,config-0,road-luxembourg-osm.mtx,road,,,2,114599.0,119666.0,572989.0,1156110.0,114599.0,343791.0,170.86,620964,0,config-0,7200.0,4000000.0,7197.33,1.32,2:00:00,571456.0,124.0,,-1.0,,False,False,False,True,False
114,config-0,road-luxembourg-osm.mtx,road,,,3,114599.0,119666.0,687582.0,1385295.0,114599.0,458384.0,126.97,662884,0,config-0,7200.0,4000000.0,7195.53,0.78,2:00:00,657456.0,124.0,,-1.0,,False,False,False,True,False
164,config-0,road-luxembourg-osm.mtx,road,,,4,114599.0,119666.0,458370.0,2760214.0,114599.0,229172.0,167.56,1044112,0,config-0,7200.0,4000000.0,7199.66,0.81,2:00:00,1150992.0,124.0,,-1.0,,False,False,False,True,False
214,config-0,road-luxembourg-osm.mtx,road,,,6,114599.0,119666.0,458370.0,2760213.0,114599.0,229172.0,140.11,1044128,0,config-0,7200.0,4000000.0,7173.84,14.89,2:00:00,3010448.0,124.0,,-1.0,,False,False,False,True,False
264,config-0,road-luxembourg-osm.mtx,road,,,8,114599.0,119666.0,458370.0,2760214.0,114599.0,229172.0,123.4,1044132,0,config-0,7200.0,4000000.0,1483.5,1.33,24:48,2553580.0,139.0,,-1.0,,False,False,False,False,True
314,config-0,road-luxembourg-osm.mtx,road,,,10,114599.0,119666.0,458370.0,2760213.0,114599.0,229172.0,257.73,1042096,0,config-0,7200.0,4000000.0,3062.61,2.27,51:05,3179520.0,139.0,,-1.0,,False,False,False,False,True
364,config-0,road-luxembourg-osm.mtx,road,,,12,114599.0,119666.0,458370.0,2760213.0,114599.0,229172.0,164.95,1044116,0,config-0,7200.0,4000000.0,3729.05,4.39,1:02:21,2947820.0,139.0,,-1.0,,False,False,False,False,True
414,config-0,road-luxembourg-osm.mtx,road,,,16,114599.0,119666.0,458370.0,2760214.0,114599.0,229172.0,176.02,1044124,0,config-0,7200.0,4000000.0,3982.61,5.43,1:06:28,2967464.0,139.0,,-1.0,,False,False,False,False,True
16,config-0,road-minnesota.mtx,road,,,1,2642.0,3303.0,5417.0,17478.0,2642.0,133.0,10.45,91988,0,config-0,7200.0,4000000.0,9.57,0.06,0:10,9104.0,0.0,,2156.0,9.57,False,False,False,False,False
66,config-0,road-minnesota.mtx,road,,,2,2642.0,3303.0,10597.0,25988.0,2642.0,5313.0,19.9,93152,0,config-0,7200.0,4000000.0,11.95,0.04,0:12,13332.0,0.0,,2812.0,11.95,False,False,False,False,False
116,config-0,road-minnesota.mtx,road,,,3,2642.0,3303.0,11492.0,29521.0,2642.0,6208.0,23.29,93884,0,config-0,7200.0,4000000.0,15.25,0.05,0:15,14004.0,0.0,,4030.0,15.24,False,False,False,False,False
166,config-0,road-minnesota.mtx,road,,,4,2642.0,3303.0,12497.0,33039.0,2642.0,7213.0,23.41,94712,0,config-0,7200.0,4000000.0,16.65,0.04,0:17,15292.0,0.0,,4932.0,16.65,False,False,False,False,False
216,config-0,road-minnesota.mtx,road,,,6,2642.0,3303.0,16365.0,38325.0,2642.0,11081.0,20.77,98076,0,config-0,7200.0,4000000.0,20.64,0.02,0:20,17572.0,0.0,,5284.0,20.63,False,False,False,False,False
266,config-0,road-minnesota.mtx,road,,,8,2642.0,3303.0,18249.0,43179.0,2642.0,12965.0,19.16,99236,0,config-0,7200.0,4000000.0,23.0,0.03,0:23,18552.0,0.0,,5284.0,23.00,False,False,False,False,False
316,config-0,road-minnesota.mtx,road,,,10,2642.0,3303.0,20257.0,47857.0,2642.0,14973.0,24.06,100364,0,config-0,7200.0,4000000.0,18.58,0.05,0:18,20036.0,0.0,,5284.0,18.57,False,False,False,False,False
366,config-0,road-minnesota.mtx,road,,,12,2642.0,3303.0,22321.0,51284.0,2642.0,17037.0,20.38,101204,0,config-0,7200.0,4000000.0,24.85,0.04,0:24,21232.0,0.0,,5284.0,24.85,False,False,False,False,False
416,config-0,road-minnesota.mtx,road,,,16,2642.0,3303.0,26583.0,57922.0,2642.0,21299.0,18.29,103372,0,config-0,7200.0,4000000.0,16.49,0.02,0:16,25484.0,0.0,,5284.0,16.49,False,False,False,False,False
34,config-0,soc-dolphins.mtx,social,,,1,62.0,159.0,140.0,622.0,62.0,16.0,8.42,84220,0,config-0,7200.0,4000000.0,0.01,0.0,0:00,1828.0,0.0,,50.0,0.01,False,False,False,False,False
84,config-0,soc-dolphins.mtx,social,,,2,62.0,159.0,246.0,765.0,62.0,122.0,11.07,84240,0,config-0,7200.0,4000000.0,0.01,0.01,0:00,2000.0,0.0,,76.0,0.02,False,False,False,False,False
134,config-0,soc-dolphins.mtx,social,,,3,62.0,159.0,266.0,843.0,62.0,142.0,8.17,84252,0,config-0,7200.0,4000000.0,0.02,0.01,0:00,2088.0,0.0,,98.0,0.03,False,False,False,False,False
184,config-0,soc-dolphins.mtx,social,,,4,62.0,159.0,286.0,920.0,62.0,162.0,9.37,84268,0,config-0,7200.0,4000000.0,0.01,0.0,0:00,2064.0,0.0,,114.0,0.02,False,False,False,False,False
234,config-0,soc-dolphins.mtx,social,,,6,62.0,159.0,369.0,1033.0,62.0,245.0,13.56,84284,0,config-0,7200.0,4000000.0,0.01,0.0,0:00,2044.0,0.0,,124.0,0.01,False,False,False,False,False
284,config-0,soc-dolphins.mtx,social,,,8,62.0,159.0,406.0,1132.0,62.0,282.0,11.94,84300,0,config-0,7200.0,4000000.0,0.01,0.01,0:00,2036.0,0.0,,124.0,0.01,False,False,False,False,False
334,config-0,soc-dolphins.mtx,social,,,10,62.0,159.0,454.0,1226.0,62.0,330.0,11.99,84312,0,config-0,7200.0,4000000.0,0.01,0.03,0:00,2104.0,0.0,,124.0,0.01,False,False,False,False,False
384,config-0,soc-dolphins.mtx,social,,,12,62.0,159.0,486.0,1294.0,62.0,362.0,12.25,84320,0,config-0,7200.0,4000000.0,0.01,0.0,0:00,2132.0,0.0,,124.0,0.01,False,False,False,False,False
434,config-0,soc-dolphins.mtx,social,,,16,62.0,159.0,563.0,1412.0,62.0,439.0,13.14,84344,0,config-0,7200.0,4000000.0,0.01,0.0,0:00,2156.0,0.0,,124.0,0.01,False,False,False,False,False
4,config-0,soccer_ball.txt,geometric,,,1,32.0,90.0,79.0,334.0,32.0,15.0,4.59,48880,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1732.0,0.0,,20.0,0.01,False,False,False,False,False
54,config-0,soccer_ball.txt,geometric,,,2,32.0,90.0,126.0,407.0,32.0,62.0,3.58,48880,0,config-0,7200.0,4000000.0,0.01,0.0,0:00,1872.0,0.0,,26.0,0.01,False,False,False,False,False
104,config-0,soccer_ball.txt,geometric,,,3,32.0,90.0,136.0,445.0,32.0,72.0,4.47,48876,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1780.0,0.0,,64.0,0.01,False,False,False,False,False
154,config-0,soccer_ball.txt,geometric,,,4,32.0,90.0,146.0,482.0,32.0,82.0,5.05,48876,0,config-0,7200.0,4000000.0,0.0,0.01,0:00,1796.0,0.0,,64.0,0.01,False,False,False,False,False
204,config-0,soccer_ball.txt,geometric,,,6,32.0,90.0,184.0,535.0,32.0,120.0,5.39,48876,0,config-0,7200.0,4000000.0,0.0,0.03,0:00,1812.0,0.0,,64.0,0.00,False,False,False,False,False
254,config-0,soccer_ball.txt,geometric,,,8,32.0,90.0,201.0,579.0,32.0,137.0,4.01,48884,0,config-0,7200.0,4000000.0,0.0,0.01,0:00,1824.0,0.0,,64.0,0.01,False,False,False,False,False
304,config-0,soccer_ball.txt,geometric,,,10,32.0,90.0,223.0,619.0,32.0,159.0,4.69,48880,0,config-0,7200.0,4000000.0,0.0,0.01,0:00,1844.0,0.0,,64.0,0.00,False,False,False,False,False
354,config-0,soccer_ball.txt,geometric,,,12,32.0,90.0,239.0,647.0,32.0,175.0,6.3,48888,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1872.0,0.0,,64.0,0.01,False,False,False,False,False
404,config-0,soccer_ball.txt,geometric,,,16,32.0,90.0,267.0,696.0,32.0,203.0,4.66,48880,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1884.0,0.0,,64.0,0.00,False,False,False,False,False
45,config-0,socfb-Amherst41.mtx,social,,,1,2235.0,90954.0,4593.0,191122.0,2235.0,123.0,30.43,182208,0,config-0,7200.0,4000000.0,818.42,1.26,13:40,275072.0,0.0,,458.0,818.42,False,False,False,False,False
95,config-0,socfb-Amherst41.mtx,social,,,2,2235.0,90954.0,8964.0,198308.0,2235.0,4494.0,35.19,183200,0,config-0,7200.0,4000000.0,7162.73,19.81,2:00:00,257820.0,124.0,,-1.0,,False,False,False,True,False
145,config-0,socfb-Amherst41.mtx,social,,,3,2235.0,90954.0,9726.0,201301.0,2235.0,5256.0,33.77,183624,0,config-0,7200.0,4000000.0,7181.78,14.3,2:00:00,286880.0,124.0,,-1.0,,False,False,False,True,False
195,config-0,socfb-Amherst41.mtx,social,,,4,2235.0,90954.0,10585.0,204266.0,2235.0,6115.0,33.66,184028,0,config-0,7200.0,4000000.0,7181.55,15.66,2:00:00,282660.0,124.0,,-1.0,,False,False,False,True,False
245,config-0,socfb-Amherst41.mtx,social,,,6,2235.0,90954.0,13847.0,208761.0,2235.0,9377.0,33.56,184636,0,config-0,7200.0,4000000.0,6269.58,17.82,1:44:55,270584.0,0.0,,4448.0,6269.58,False,False,False,False,False
295,config-0,socfb-Amherst41.mtx,social,,,8,2235.0,90954.0,15439.0,212865.0,2235.0,10969.0,33.56,185176,0,config-0,7200.0,4000000.0,5595.03,12.37,1:33:36,307992.0,0.0,,4470.0,5595.03,False,False,False,False,False
345,config-0,socfb-Amherst41.mtx,social,,,10,2235.0,90954.0,17227.0,216780.0,2235.0,12757.0,33.38,185700,0,config-0,7200.0,4000000.0,4030.75,8.33,1:07:20,275092.0,0.0,,4470.0,4030.74,False,False,False,False,False
395,config-0,socfb-Amherst41.mtx,social,,,12,2235.0,90954.0,18870.0,219694.0,2235.0,14400.0,34.17,186092,0,config-0,7200.0,4000000.0,3727.95,5.77,1:02:16,230204.0,0.0,,4470.0,3727.94,False,False,False,False,False
445,config-0,socfb-Amherst41.mtx,social,,,16,2235.0,90954.0,22516.0,225344.0,2235.0,18046.0,33.26,186836,0,config-0,7200.0,4000000.0,2100.09,3.3,35:03,230868.0,0.0,,4470.0,2100.09,False,False,False,False,False
38,config-0,socfb-Bowdoin47.mtx,social,,,1,2252.0,84387.0,4627.0,178056.0,2252.0,123.0,192.3,175376,0,config-0,7200.0,4000000.0,606.17,1.3,10:07,279156.0,0.0,,462.0,606.17,False,False,False,False,False
88,config-0,socfb-Bowdoin47.mtx,social,,,2,2252.0,84387.0,9037.0,185298.0,2252.0,4533.0,130.56,176380,0,config-0,7200.0,4000000.0,7190.93,9.04,2:00:00,269460.0,124.0,,-1.0,,False,False,False,True,False
138,config-0,socfb-Bowdoin47.mtx,social,,,3,2252.0,84387.0,9804.0,188313.0,2252.0,5300.0,85.92,176784,0,config-0,7200.0,4000000.0,7190.36,9.09,2:00:00,275948.0,124.0,,-1.0,,False,False,False,True,False
188,config-0,socfb-Bowdoin47.mtx,social,,,4,2252.0,84387.0,10675.0,191307.0,2252.0,6171.0,95.45,177204,0,config-0,7200.0,4000000.0,7147.4,25.4,2:00:00,248700.0,124.0,,-1.0,,False,False,False,True,False
238,config-0,socfb-Bowdoin47.mtx,social,,,6,2252.0,84387.0,13967.0,195819.0,2252.0,9463.0,94.93,177796,0,config-0,7200.0,4000000.0,7159.21,20.66,2:00:00,264948.0,124.0,,-1.0,,False,False,False,True,False
