,config_enc,benchmark,network_type,encoding,configuration,k,n_nodes,n_edges,n_vars,n_clauses,n_groups,n_Avars,utime_enc,max_res_set_size_enc,exit_status_enc,config_solve,timeout,memory_limit,utime_solve,stime,wtime,max_res_set_size_solve,exit_status_solve,signal,optimised_value,arjun_time,encoding_t/o,encoding_m/o,solving_m/o,solving_t/o,other_error
400,config-0,PhilippineAdj.txt,kaustav,,,16,14.0,51.0,28.0,130.0,14.0,0.0,1.19,48864,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1652.0,0.0,,28.0,0.00,False,False,False,False,False
3,config-0,ZerkaniAdj.txt,kaustav,,,1,39.0,89.0,91.0,370.0,39.0,13.0,1.18,48884,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1748.0,0.0,,32.0,0.01,False,False,False,False,False
53,config-0,ZerkaniAdj.txt,kaustav,,,2,39.0,89.0,153.0,456.0,39.0,75.0,1.28,48884,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1808.0,0.0,,58.0,0.00,False,False,False,False,False
103,config-0,ZerkaniAdj.txt,kaustav,,,3,39.0,89.0,165.0,503.0,39.0,87.0,1.31,48888,0,config-0,7200.0,4000000.0,0.0,0.01,0:00,1816.0,0.0,,70.0,0.00,False,False,False,False,False
153,config-0,ZerkaniAdj.txt,kaustav,,,4,39.0,89.0,177.0,549.0,39.0,99.0,1.25,48888,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1824.0,0.0,,72.0,0.00,False,False,False,False,False
203,config-0,ZerkaniAdj.txt,kaustav,,,6,39.0,89.0,225.0,617.0,39.0,147.0,1.3,48880,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,1876.0,0.0,,76.0,0.00,False,False,False,False,False
253,config-0,ZerkaniAdj.txt,kaustav,,,8,39.0,89.0,247.0,675.0,39.0,169.0,1.26,48884,0,config-0,7200.0,4000000.0,0.01,0.03,0:00,1884.0,0.0,,78.0,0.01,False,False,False,False,False
303,config-0,ZerkaniAdj.txt,kaustav,,,10,39.0,89.0,273.0,727.0,39.0,195.0,1.4,48888,0,config-0,7200.0,4000000.0,0.0,0.01,0:00,1900.0,0.0,,78.0,0.01,False,False,False,False,False
353,config-0,ZerkaniAdj.txt,kaustav,,,12,39.0,89.0,289.0,764.0,39.0,211.0,1.29,48880,0,config-0,7200.0,4000000.0,0.0,0.03,0:00,1908.0,0.0,,78.0,0.01,False,False,False,False,False
403,config-0,ZerkaniAdj.txt,kaustav,,,16,39.0,89.0,333.0,828.0,39.0,255.0,1.39,48884,0,config-0,7200.0,4000000.0,0.0,0.01,0:00,1964.0,0.0,,78.0,0.00,False,False,False,False,False
22,config-0,ca-CondMat.mtx,collaboration,,,1,21363.0,91286.0,43099.0,268752.0,21363.0,373.0,93.97,227552,0,config-0,7200.0,4000000.0,2753.69,0.31,45:54,85776.0,0.0,,18720.0,2753.65,False,False,False,False,False
72,config-0,ca-CondMat.mtx,collaboration,,,2,21363.0,91286.0,106809.0,353462.0,21363.0,64083.0,73.08,237084,0,config-0,7200.0,4000000.0,4434.09,7.29,1:14:09,252244.0,0.0,,31512.0,4434.02,False,False,False,False,False
122,config-0,ca-CondMat.mtx,collaboration,,,3,21363.0,91286.0,128166.0,396175.0,21363.0,85440.0,81.69,243072,0,config-0,7200.0,4000000.0,6288.56,1.2,1:44:50,341236.0,0.0,,36858.0,6288.52,False,False,False,False,False
172,config-0,ca-CondMat.mtx,collaboration,,,4,21363.0,91286.0,149521.0,438884.0,21363.0,106795.0,68.95,258460,0,config-0,7200.0,4000000.0,7193.57,3.96,2:00:00,327480.0,124.0,,-1.0,,False,False,False,True,False
222,config-0,ca-CondMat.mtx,collaboration,,,6,21363.0,91286.0,192225.0,524290.0,21363.0,149499.0,64.43,272224,0,config-0,7200.0,4000000.0,7191.22,5.66,2:00:00,286136.0,124.0,,-1.0,,False,False,False,True,False
272,config-0,ca-CondMat.mtx,collaboration,,,8,21363.0,91286.0,234921.0,609680.0,21363.0,192195.0,73.04,315636,0,config-0,7200.0,4000000.0,7165.41,13.52,2:00:00,309664.0,124.0,,-1.0,,False,False,False,True,False
322,config-0,ca-CondMat.mtx,collaboration,,,10,21363.0,91286.0,277609.0,695054.0,21363.0,234883.0,79.4,342452,0,config-0,7200.0,4000000.0,7192.4,5.82,2:00:00,360248.0,124.0,,-1.0,,False,False,False,True,False
372,config-0,ca-CondMat.mtx,collaboration,,,12,21363.0,91286.0,320289.0,780412.0,21363.0,277563.0,72.79,369252,0,config-0,7200.0,4000000.0,7192.94,4.04,2:00:00,374972.0,124.0,,-1.0,,False,False,False,True,False
422,config-0,ca-CondMat.mtx,collaboration,,,16,21363.0,91286.0,405625.0,951080.0,21363.0,362899.0,72.6,442484,0,config-0,7200.0,4000000.0,7198.56,0.63,2:00:00,460172.0,124.0,,-1.0,,False,False,False,True,False
25,config-0,ca-Erdos992.mtx,collaboration,,,1,6100.0,7515.0,12393.0,39888.0,6100.0,193.0,7.79,100920,0,config-0,7200.0,4000000.0,94.62,0.06,1:34,19340.0,0.0,,9476.0,94.61,False,False,False,False,False
75,config-0,ca-Erdos992.mtx,collaboration,,,2,6100.0,7515.0,30494.0,63816.0,6100.0,18294.0,8.64,108032,0,config-0,7200.0,4000000.0,363.73,0.21,6:03,153216.0,0.0,,11002.0,363.73,False,False,False,False,False
125,config-0,ca-Erdos992.mtx,collaboration,,,3,6100.0,7515.0,36588.0,76003.0,6100.0,24388.0,16.61,113504,0,config-0,7200.0,4000000.0,2748.15,1.23,45:52,216420.0,0.0,,11544.0,2748.14,False,False,False,False,False
175,config-0,ca-Erdos992.mtx,collaboration,,,4,6100.0,7515.0,42680.0,88186.0,6100.0,30480.0,8.69,113544,0,config-0,7200.0,4000000.0,1775.63,4.78,29:48,166332.0,0.0,,11540.0,1775.62,False,False,False,False,False
225,config-0,ca-Erdos992.mtx,collaboration,,,6,6100.0,7515.0,54858.0,112540.0,6100.0,42658.0,20.78,127340,0,config-0,7200.0,4000000.0,461.89,0.14,7:42,137660.0,0.0,,11530.0,461.88,False,False,False,False,False
275,config-0,ca-Erdos992.mtx,collaboration,,,8,6100.0,7515.0,67028.0,136878.0,6100.0,54828.0,23.7,132048,0,config-0,7200.0,4000000.0,296.84,0.47,4:58,117568.0,0.0,,11604.0,296.83,False,False,False,False,False
