,config_enc,benchmark,network_type,encoding,configuration,ilp_configuration,k,encoding_t/o,building_successful,encoding_successful,n_nodes,n_edges,utime_enc,max_res_set_size_enc,exit_status_enc,n_vars,n_csts,config_solve,timeout,memory_limit,utime_solve,stime,wtime,max_res_set_size_solve,exit_status_solve,signal,solution_time,deterministic_time,memout,all_rows_eliminated_during_preprocessing,n_rows,n_non_zeros,n_binaries,optimised_value,encoding_m/o,solving_t/o,solving_m/o
393,config1,socfb-nips-ego.edges,social,ilp,,config1,4,True,True,True,,,3600.48,65980,0,,,,,,,,,,,,,,,,,,,,False,False,False
493,config1,socfb-nips-ego.edges,social,ilp,,config1,6,True,True,True,,,3600.32,65984,0,,,,,,,,,,,,,,,,,,,,False,False,False
593,config1,socfb-nips-ego.edges,social,ilp,,config1,8,True,True,True,,,3600.14,65688,0,,,,,,,,,,,,,,,,,,,,False,False,False
693,config1,socfb-nips-ego.edges,social,ilp,,config1,10,True,True,True,,,3600.26,65920,0,,,,,,,,,,,,,,,,,,,,False,False,False
793,config1,socfb-nips-ego.edges,social,ilp,,config1,12,True,True,True,,,3580.43,65708,0,,,,,,,,,,,,,,,,,,,,False,False,False
893,config1,socfb-nips-ego.edges,social,ilp,,config1,16,True,True,True,,,3592.04,65912,0,,,,,,,,,,,,,,,,,,,,False,False,False
39,config1,web-EPA.edges,webgraph,ilp,,config1,1,True,True,True,,,3592.99,169504,0,,,,,,,,,,,,,,,,,,,,False,False,False
139,config1,web-EPA.edges,webgraph,ilp,,config1,2,True,True,True,,,3591.49,68256,0,,,,,,,,,,,,,,,,,,,,False,False,False
239,config1,web-EPA.edges,webgraph,ilp,,config1,3,True,True,True,,,3591.44,68252,0,,,,,,,,,,,,,,,,,,,,False,False,False
339,config1,web-EPA.edges,webgraph,ilp,,config1,4,True,True,True,,,3588.13,68256,0,,,,,,,,,,,,,,,,,,,,False,False,False
439,config1,web-EPA.edges,webgraph,ilp,,config1,6,True,True,True,,,3592.12,68260,0,,,,,,,,,,,,,,,,,,,,False,False,False
539,config1,web-EPA.edges,webgraph,ilp,,config1,8,True,True,True,,,3594.14,68248,0,,,,,,,,,,,,,,,,,,,,False,False,False
639,config1,web-EPA.edges,webgraph,ilp,,config1,10,True,True,True,,,3593.92,68260,0,,,,,,,,,,,,,,,,,,,,False,False,False
739,config1,web-EPA.edges,webgraph,ilp,,config1,12,True,True,True,,,3594.56,68260,0,,,,,,,,,,,,,,,,,,,,False,False,False
839,config1,web-EPA.edges,webgraph,ilp,,config1,16,True,True,True,,,3587.91,68244,0,,,,,,,,,,,,,,,,,,,,False,False,False
41,config1,web-edu.mtx,webgraph,ilp,,config1,1,True,True,True,,,3599.83,154664,0,,,,,,,,,,,,,,,,,,,,False,False,False
141,config1,web-edu.mtx,webgraph,ilp,,config1,2,True,True,True,,,3599.76,92760,0,,,,,,,,,,,,,,,,,,,,False,False,False
241,config1,web-edu.mtx,webgraph,ilp,,config1,3,True,True,True,,,3600.16,92496,0,,,,,,,,,,,,,,,,,,,,False,False,False
341,config1,web-edu.mtx,webgraph,ilp,,config1,4,True,True,True,,,3600.38,92688,0,,,,,,,,,,,,,,,,,,,,False,False,False
441,config1,web-edu.mtx,webgraph,ilp,,config1,6,True,True,True,,,3592.25,94552,0,,,,,,,,,,,,,,,,,,,,False,False,False
541,config1,web-edu.mtx,webgraph,ilp,,config1,8,True,True,True,,,3595.28,92752,0,,,,,,,,,,,,,,,,,,,,False,False,False
641,config1,web-edu.mtx,webgraph,ilp,,config1,10,True,True,True,,,3593.67,92508,0,,,,,,,,,,,,,,,,,,,,False,False,False
741,config1,web-edu.mtx,webgraph,ilp,,config1,12,True,True,True,,,3591.99,92756,0,,,,,,,,,,,,,,,,,,,,False,False,False
841,config1,web-edu.mtx,webgraph,ilp,,config1,16,True,True,True,,,3590.18,92512,0,,,,,,,,,,,,,,,,,,,,False,False,False
42,config1,web-indochina-2004.mtx,webgraph,ilp,,config1,1,True,True,True,,,3599.71,198296,0,,,,,,,,,,,,,,,,,,,,False,False,False
142,config1,web-indochina-2004.mtx,webgraph,ilp,,config1,2,True,True,True,,,3599.86,151788,0,,,,,,,,,,,,,,,,,,,,False,False,False
242,config1,web-indochina-2004.mtx,webgraph,ilp,,config1,3,True,True,True,,,3600.32,151868,0,,,,,,,,,,,,,,,,,,,,False,False,False
342,config1,web-indochina-2004.mtx,webgraph,ilp,,config1,4,True,True,True,,,3587.12,151792,0,,,,,,,,,,,,,,,,,,,,False,False,False
442,config1,web-indochina-2004.mtx,webgraph,ilp,,config1,6,True,True,True,,,3592.27,152056,0,,,,,,,,,,,,,,,,,,,,False,False,False
542,config1,web-indochina-2004.mtx,webgraph,ilp,,config1,8,True,True,True,,,3589.59,151796,0,,,,,,,,,,,,,,,,,,,,False,False,False
642,config1,web-indochina-2004.mtx,webgraph,ilp,,config1,10,True,True,True,,,3591.71,152040,0,,,,,,,,,,,,,,,,,,,,False,False,False
742,config1,web-indochina-2004.mtx,webgraph,ilp,,config1,12,True,True,True,,,3579.55,151788,0,,,,,,,,,,,,,,,,,,,,False,False,False
842,config1,web-indochina-2004.mtx,webgraph,ilp,,config1,16,True,True,True,,,3588.13,152036,0,,,,,,,,,,,,,,,,,,,,False,False,False
40,config1,web-spam.mtx,webgraph,ilp,,config1,1,True,True,True,,,3592.19,329672,0,,,,,,,,,,,,,,,,,,,,False,False,False
140,config1,web-spam.mtx,webgraph,ilp,,config1,2,True,True,True,,,3599.26,127724,0,,,,,,,,,,,,,,,,,,,,False,False,False
240,config1,web-spam.mtx,webgraph,ilp,,config1,3,True,True,True,,,3599.78,125940,0,,,,,,,,,,,,,,,,,,,,False,False,False
340,config1,web-spam.mtx,webgraph,ilp,,config1,4,True,True,True,,,3600.21,125692,0,,,,,,,,,,,,,,,,,,,,False,False,False
440,config1,web-spam.mtx,webgraph,ilp,,config1,6,True,True,True,,,3600.11,125932,0,,,,,,,,,,,,,,,,,,,,False,False,False
540,config1,web-spam.mtx,webgraph,ilp,,config1,8,True,True,True,,,3600.26,125684,0,,,,,,,,,,,,,,,,,,,,False,False,False
640,config1,web-spam.mtx,webgraph,ilp,,config1,10,True,True,True,,,3599.98,125916,0,,,,,,,,,,,,,,,,,,,,False,False,False
740,config1,web-spam.mtx,webgraph,ilp,,config1,12,True,True,True,,,3600.04,125688,0,,,,,,,,,,,,,,,,,,,,False,False,False
840,config1,web-spam.mtx,webgraph,ilp,,config1,16,True,True,True,,,3600.0,125932,0,,,,,,,,,,,,,,,,,,,,False,False,False
43,config1,web-webbase-2001.mtx,webgraph,ilp,,config1,1,True,True,True,,,3590.04,181260,0,,,,,,,,,,,,,,,,,,,,False,False,False
143,config1,web-webbase-2001.mtx,webgraph,ilp,,config1,2,True,True,True,,,3593.44,147868,0,,,,,,,,,,,,,,,,,,,,False,False,False
243,config1,web-webbase-2001.mtx,webgraph,ilp,,config1,3,True,True,True,,,3595.13,149640,0,,,,,,,,,,,,,,,,,,,,False,False,False
343,config1,web-webbase-2001.mtx,webgraph,ilp,,config1,4,True,True,True,,,3590.77,149644,0,,,,,,,,,,,,,,,,,,,,False,False,False
443,config1,web-webbase-2001.mtx,webgraph,ilp,,config1,6,True,True,True,,,3593.94,147608,0,,,,,,,,,,,,,,,,,,,,False,False,False
543,config1,web-webbase-2001.mtx,webgraph,ilp,,config1,8,True,True,True,,,3595.78,149652,0,,,,,,,,,,,,,,,,,,,,False,False,False
643,config1,web-webbase-2001.mtx,webgraph,ilp,,config1,10,True,True,True,,,3595.86,149644,0,,,,,,,,,,,,,,,,,,,,False,False,False
743,config1,web-webbase-2001.mtx,webgraph,ilp,,config1,12,True,True,True,,,3597.98,149648,0,,,,,,,,,,,,,,,,,,,,False,False,False
843,config1,web-webbase-2001.mtx,webgraph,ilp,,config1,16,True,True,True,,,3599.36,149656,0,,,,,,,,,,,,,,,,,,,,False,False,False
