,config,benchmark,network_type,encoding,configuration,ilp_configuration,k,encoding_t/o,building_successful,encoding_successful,n_nodes,n_edges,utime,max_res_set_size,exit_status,n_vars,n_csts,encoding_m/o
683,config1,ca-GrQc.mtx,collaboration,ilp,,config1,10,True,True,True,,,3579.18,101548,0,,,
787,config1,ca-GrQc.mtx,collaboration,ilp,,config1,12,True,True,True,,,3590.0,101296,0,,,
891,config1,ca-GrQc.mtx,collaboration,ilp,,config1,16,True,True,True,,,3589.42,101296,0,,,
58,config1,ca-citeseer.mtx,collaboration,ilp,,config1,1,True,True,True,,,3598.2,1416040,0,,,
162,config1,ca-citeseer.mtx,collaboration,ilp,,config1,2,True,True,True,,,3599.17,1420496,0,,,
266,config1,ca-citeseer.mtx,collaboration,ilp,,config1,3,True,True,True,,,3598.36,1421000,0,,,
370,config1,ca-citeseer.mtx,collaboration,ilp,,config1,4,True,True,True,,,3599.37,1420804,0,,,
474,config1,ca-citeseer.mtx,collaboration,ilp,,config1,6,True,True,True,,,3598.4,1419760,0,,,
578,config1,ca-citeseer.mtx,collaboration,ilp,,config1,8,True,True,True,,,3599.11,1420936,0,,,
682,config1,ca-citeseer.mtx,collaboration,ilp,,config1,10,True,True,True,,,3584.37,1420660,0,,,
786,config1,ca-citeseer.mtx,collaboration,ilp,,config1,12,True,True,True,,,3588.51,1421000,0,,,
890,config1,ca-citeseer.mtx,collaboration,ilp,,config1,16,True,True,True,,,3589.58,1420564,0,,,
57,config1,ca-dblp-2010.mtx,collaboration,ilp,,config1,1,True,True,True,,,3587.96,1323220,0,,,
161,config1,ca-dblp-2010.mtx,collaboration,ilp,,config1,2,True,True,True,,,3592.21,1318000,0,,,
265,config1,ca-dblp-2010.mtx,collaboration,ilp,,config1,3,True,True,True,,,3594.73,1319704,0,,,
369,config1,ca-dblp-2010.mtx,collaboration,ilp,,config1,4,True,True,True,,,3597.54,1318472,0,,,
473,config1,ca-dblp-2010.mtx,collaboration,ilp,,config1,6,True,True,True,,,3598.33,1319772,0,,,
577,config1,ca-dblp-2010.mtx,collaboration,ilp,,config1,8,True,True,True,,,3598.69,1318808,0,,,
681,config1,ca-dblp-2010.mtx,collaboration,ilp,,config1,10,True,True,True,,,3596.64,1320024,0,,,
785,config1,ca-dblp-2010.mtx,collaboration,ilp,,config1,12,True,True,True,,,3598.73,1319396,0,,,
889,config1,ca-dblp-2010.mtx,collaboration,ilp,,config1,16,True,True,True,,,3599.09,1318744,0,,,
55,config1,ca-netscience.mtx,collaboration,ilp,,config1,1,False,True,True,379.0,914.0,24.98,90688,0,758.0,5923.0,
159,config1,ca-netscience.mtx,collaboration,ilp,,config1,2,True,True,True,,,3597.17,83544,0,,,
263,config1,ca-netscience.mtx,collaboration,ilp,,config1,3,True,True,True,,,3598.7,81372,0,,,
367,config1,ca-netscience.mtx,collaboration,ilp,,config1,4,True,True,True,,,3599.84,81568,0,,,
471,config1,ca-netscience.mtx,collaboration,ilp,,config1,6,True,True,True,,,3600.16,81320,0,,,
575,config1,ca-netscience.mtx,collaboration,ilp,,config1,8,True,True,True,,,3597.16,81564,0,,,
679,config1,ca-netscience.mtx,collaboration,ilp,,config1,10,True,True,True,,,3598.81,81320,0,,,
783,config1,ca-netscience.mtx,collaboration,ilp,,config1,12,True,True,True,,,3599.91,81580,0,,,
887,config1,ca-netscience.mtx,collaboration,ilp,,config1,16,True,True,True,,,3600.26,81328,0,,,
56,config1,ca-sandi_auths.mtx,collaboration,ilp,,config1,1,False,True,True,86.0,124.0,2.29,85868,0,172.0,1092.0,
160,config1,ca-sandi_auths.mtx,collaboration,ilp,,config1,2,False,True,True,86.0,124.0,59.85,83332,0,172.0,308.0,
264,config1,ca-sandi_auths.mtx,collaboration,ilp,,config1,3,True,True,True,,,3597.43,80756,0,,,
368,config1,ca-sandi_auths.mtx,collaboration,ilp,,config1,4,True,True,True,,,3598.71,81000,0,,,
472,config1,ca-sandi_auths.mtx,collaboration,ilp,,config1,6,True,True,True,,,3599.8,82784,0,,,
576,config1,ca-sandi_auths.mtx,collaboration,ilp,,config1,8,True,True,True,,,3598.41,80748,0,,,
680,config1,ca-sandi_auths.mtx,collaboration,ilp,,config1,10,True,True,True,,,3599.87,82784,0,,,
784,config1,ca-sandi_auths.mtx,collaboration,ilp,,config1,12,True,True,True,,,3599.96,82776,0,,,
888,config1,ca-sandi_auths.mtx,collaboration,ilp,,config1,16,True,True,True,,,3595.71,82784,0,,,
15,config1,inf-USAir97.mtx,infrastructure,ilp,,config1,1,False,True,True,332.0,2126.0,100.33,144256,0,664.0,22070.0,
119,config1,inf-USAir97.mtx,infrastructure,ilp,,config1,2,True,True,True,,,3595.53,83532,0,,,
223,config1,inf-USAir97.mtx,infrastructure,ilp,,config1,3,True,True,True,,,3593.34,83704,0,,,
327,config1,inf-USAir97.mtx,infrastructure,ilp,,config1,4,True,True,True,,,3590.74,81656,0,,,
431,config1,inf-USAir97.mtx,infrastructure,ilp,,config1,6,True,True,True,,,3579.24,83708,0,,,
535,config1,inf-USAir97.mtx,infrastructure,ilp,,config1,8,True,True,True,,,3587.44,83704,0,,,
639,config1,inf-USAir97.mtx,infrastructure,ilp,,config1,10,True,True,True,,,3586.38,83700,0,,,
743,config1,inf-USAir97.mtx,infrastructure,ilp,,config1,12,True,True,True,,,3588.58,81668,0,,,
847,config1,inf-USAir97.mtx,infrastructure,ilp,,config1,16,True,True,True,,,3579.22,81672,0,,,
23,config1,power-1138-bus.mtx,power,ilp,,config1,1,True,True,True,,,3592.44,143172,0,,,
127,config1,power-1138-bus.mtx,power,ilp,,config1,2,True,True,True,,,3594.74,84736,0,,,
231,config1,power-1138-bus.mtx,power,ilp,,config1,3,True,True,True,,,3596.11,84696,0,,,
335,config1,power-1138-bus.mtx,power,ilp,,config1,4,True,True,True,,,3599.36,84712,0,,,
439,config1,power-1138-bus.mtx,power,ilp,,config1,6,True,True,True,,,3600.25,84724,0,,,
543,config1,power-1138-bus.mtx,power,ilp,,config1,8,True,True,True,,,3599.26,82936,0,,,
647,config1,power-1138-bus.mtx,power,ilp,,config1,10,True,True,True,,,3600.37,82664,0,,,
751,config1,power-1138-bus.mtx,power,ilp,,config1,12,True,True,True,,,3599.79,84728,0,,,
855,config1,power-1138-bus.mtx,power,ilp,,config1,16,True,True,True,,,3599.89,82668,0,,,
25,config1,power-494-bus.mtx,power,ilp,,config1,1,False,True,True,494.0,1080.0,1151.52,171560,0,988.0,67856.0,
129,config1,power-494-bus.mtx,power,ilp,,config1,2,True,True,True,,,3597.76,81760,0,,,
233,config1,power-494-bus.mtx,power,ilp,,config1,3,True,True,True,,,3599.32,81724,0,,,
337,config1,power-494-bus.mtx,power,ilp,,config1,4,True,True,True,,,3598.66,83516,0,,,
441,config1,power-494-bus.mtx,power,ilp,,config1,6,True,True,True,,,3599.03,83516,0,,,
545,config1,power-494-bus.mtx,power,ilp,,config1,8,True,True,True,,,3599.35,83504,0,,,
649,config1,power-494-bus.mtx,power,ilp,,config1,10,True,True,True,,,3599.56,81472,0,,,
753,config1,power-494-bus.mtx,power,ilp,,config1,12,True,True,True,,,3599.56,81720,0,,,
857,config1,power-494-bus.mtx,power,ilp,,config1,16,True,True,True,,,3600.2,83504,0,,,
27,config1,power-685-bus.mtx,power,ilp,,config1,1,True,True,True,,,3595.75,171892,0,,,
131,config1,power-685-bus.mtx,power,ilp,,config1,2,True,True,True,,,3590.17,82316,0,,,
235,config1,power-685-bus.mtx,power,ilp,,config1,3,True,True,True,,,3589.45,83996,0,,,
339,config1,power-685-bus.mtx,power,ilp,,config1,4,True,True,True,,,3593.48,82036,0,,,
443,config1,power-685-bus.mtx,power,ilp,,config1,6,True,True,True,,,3591.0,83996,0,,,
547,config1,power-685-bus.mtx,power,ilp,,config1,8,True,True,True,,,3591.3,81956,0,,,
651,config1,power-685-bus.mtx,power,ilp,,config1,10,True,True,True,,,3588.05,82196,0,,,
755,config1,power-685-bus.mtx,power,ilp,,config1,12,True,True,True,,,3590.62,84008,0,,,
859,config1,power-685-bus.mtx,power,ilp,,config1,16,True,True,True,,,3591.81,81964,0,,,
22,config1,power-US-Grid.mtx,power,ilp,,config1,1,True,True,True,,,3594.42,158520,0,,,
126,config1,power-US-Grid.mtx,power,ilp,,config1,2,True,True,True,,,3592.3,99312,0,,,
230,config1,power-US-Grid.mtx,power,ilp,,config1,3,True,True,True,,,3590.27,97264,0,,,
334,config1,power-US-Grid.mtx,power,ilp,,config1,4,True,True,True,,,3591.89,99308,0,,,
438,config1,power-US-Grid.mtx,power,ilp,,config1,6,True,True,True,,,3589.12,99304,0,,,
542,config1,power-US-Grid.mtx,power,ilp,,config1,8,True,True,True,,,3598.62,99308,0,,,
646,config1,power-US-Grid.mtx,power,ilp,,config1,10,True,True,True,,,3589.6,97500,0,,,
750,config1,power-US-Grid.mtx,power,ilp,,config1,12,True,True,True,,,3589.83,99308,0,,,
854,config1,power-US-Grid.mtx,power,ilp,,config1,16,True,True,True,,,3593.12,99304,0,,,
26,config1,power-bcspwr09.mtx,power,ilp,,config1,1,True,True,True,,,3586.51,143268,0,,,
130,config1,power-bcspwr09.mtx,power,ilp,,config1,2,True,True,True,,,3593.9,85892,0,,,
234,config1,power-bcspwr09.mtx,power,ilp,,config1,3,True,True,True,,,3599.64,87568,0,,,
338,config1,power-bcspwr09.mtx,power,ilp,,config1,4,True,True,True,,,3600.08,85888,0,,,
442,config1,power-bcspwr09.mtx,power,ilp,,config1,6,True,True,True,,,3599.59,87568,0,,,
546,config1,power-bcspwr09.mtx,power,ilp,,config1,8,True,True,True,,,3600.09,85888,0,,,
650,config1,power-bcspwr09.mtx,power,ilp,,config1,10,True,True,True,,,3600.28,85568,0,,,
754,config1,power-bcspwr09.mtx,power,ilp,,config1,12,True,True,True,,,3600.37,85884,0,,,
858,config1,power-bcspwr09.mtx,power,ilp,,config1,16,True,True,True,,,3600.34,87556,0,,,
24,config1,power-eris1176.mtx,power,ilp,,config1,1,True,True,True,,,3598.64,142188,0,,,
128,config1,power-eris1176.mtx,power,ilp,,config1,2,True,True,True,,,3599.85,91044,0,,,
232,config1,power-eris1176.mtx,power,ilp,,config1,3,True,True,True,,,3600.24,90548,0,,,
336,config1,power-eris1176.mtx,power,ilp,,config1,4,True,True,True,,,3600.27,90692,0,,,
440,config1,power-eris1176.mtx,power,ilp,,config1,6,True,True,True,,,3600.37,92580,0,,,
544,config1,power-eris1176.mtx,power,ilp,,config1,8,True,True,True,,,3600.27,92592,0,,,
648,config1,power-eris1176.mtx,power,ilp,,config1,10,True,True,True,,,3600.16,90688,0,,,
752,config1,power-eris1176.mtx,power,ilp,,config1,12,True,True,True,,,3600.1,90684,0,,,
856,config1,power-eris1176.mtx,power,ilp,,config1,16,True,True,True,,,3600.27,92588,0,,,
34,config1,road-chesapeake.mtx,road,ilp,,config1,1,False,True,True,39.0,170.0,2.06,83476,0,78.0,438.0,
138,config1,road-chesapeake.mtx,road,ilp,,config1,2,False,True,True,39.0,170.0,4.83,83340,0,78.0,198.0,
242,config1,road-chesapeake.mtx,road,ilp,,config1,3,False,True,True,39.0,170.0,548.01,85160,0,78.0,117.0,
346,config1,road-chesapeake.mtx,road,ilp,,config1,4,True,True,True,,,3596.29,82780,0,,,
450,config1,road-chesapeake.mtx,road,ilp,,config1,6,True,True,True,,,3593.87,82780,0,,,
554,config1,road-chesapeake.mtx,road,ilp,,config1,8,True,True,True,,,3589.85,82768,0,,,
658,config1,road-chesapeake.mtx,road,ilp,,config1,10,True,True,True,,,3589.33,80976,0,,,
762,config1,road-chesapeake.mtx,road,ilp,,config1,12,True,True,True,,,3584.32,80728,0,,,
866,config1,road-chesapeake.mtx,road,ilp,,config1,16,True,True,True,,,3589.49,80724,0,,,
33,config1,road-euroroad.edges,road,ilp,,config1,1,True,True,True,,,3599.82,119736,0,,,
137,config1,road-euroroad.edges,road,ilp,,config1,2,True,True,True,,,3598.01,54228,0,,,
241,config1,road-euroroad.edges,road,ilp,,config1,3,True,True,True,,,3599.64,54232,0,,,
345,config1,road-euroroad.edges,road,ilp,,config1,4,True,True,True,,,3599.74,54228,0,,,
449,config1,road-euroroad.edges,road,ilp,,config1,6,True,True,True,,,3600.2,54228,0,,,
553,config1,road-euroroad.edges,road,ilp,,config1,8,True,True,True,,,3600.29,54228,0,,,
657,config1,road-euroroad.edges,road,ilp,,config1,10,True,True,True,,,3600.41,54224,0,,,
761,config1,road-euroroad.edges,road,ilp,,config1,12,True,True,True,,,3595.57,54236,0,,,
865,config1,road-euroroad.edges,road,ilp,,config1,16,True,True,True,,,3592.46,54228,0,,,
37,config1,road-luxembourg-osm.mtx,road,ilp,,config1,1,True,True,True,,,3591.13,526612,0,,,
141,config1,road-luxembourg-osm.mtx,road,ilp,,config1,2,True,True,True,,,3588.12,523660,0,,,
245,config1,road-luxembourg-osm.mtx,road,ilp,,config1,3,True,True,True,,,3590.36,522920,0,,,
349,config1,road-luxembourg-osm.mtx,road,ilp,,config1,4,True,True,True,,,3589.44,523336,0,,,
453,config1,road-luxembourg-osm.mtx,road,ilp,,config1,6,True,True,True,,,3587.2,519980,0,,,
557,config1,road-luxembourg-osm.mtx,road,ilp,,config1,8,True,True,True,,,3593.84,523444,0,,,
661,config1,road-luxembourg-osm.mtx,road,ilp,,config1,10,True,True,True,,,3589.38,522256,0,,,
765,config1,road-luxembourg-osm.mtx,road,ilp,,config1,12,True,True,True,,,3595.13,523584,0,,,
869,config1,road-luxembourg-osm.mtx,road,ilp,,config1,16,True,True,True,,,3599.12,523044,0,,,
36,config1,road-minnesota.mtx,road,ilp,,config1,1,True,True,True,,,3583.69,164784,0,,,
140,config1,road-minnesota.mtx,road,ilp,,config1,2,True,True,True,,,3590.55,91200,0,,,
244,config1,road-minnesota.mtx,road,ilp,,config1,3,True,True,True,,,3593.91,91204,0,,,
348,config1,road-minnesota.mtx,road,ilp,,config1,4,True,True,True,,,3598.1,91208,0,,,
452,config1,road-minnesota.mtx,road,ilp,,config1,6,True,True,True,,,3597.35,91208,0,,,
556,config1,road-minnesota.mtx,road,ilp,,config1,8,True,True,True,,,3598.75,89428,0,,,
660,config1,road-minnesota.mtx,road,ilp,,config1,10,True,True,True,,,3600.12,91200,0,,,
764,config1,road-minnesota.mtx,road,ilp,,config1,12,True,True,True,,,3598.86,91204,0,,,
868,config1,road-minnesota.mtx,road,ilp,,config1,16,True,True,True,,,3599.3,89412,0,,,
35,config1,road-roadNet-PA.mtx,road,ilp,,config1,1,False,True,False,,,388.93,3656788,0,,,True
139,config1,road-roadNet-PA.mtx,road,ilp,,config1,2,False,True,False,,,397.8,3656784,0,,,True
243,config1,road-roadNet-PA.mtx,road,ilp,,config1,3,False,True,False,,,383.32,3656784,0,,,True
347,config1,road-roadNet-PA.mtx,road,ilp,,config1,4,False,True,False,,,389.24,3656784,0,,,True
451,config1,road-roadNet-PA.mtx,road,ilp,,config1,6,False,True,False,,,392.25,3656784,0,,,True
555,config1,road-roadNet-PA.mtx,road,ilp,,config1,8,False,True,False,,,388.41,3656788,0,,,True
659,config1,road-roadNet-PA.mtx,road,ilp,,config1,10,False,True,False,,,393.51,3656784,0,,,True
763,config1,road-roadNet-PA.mtx,road,ilp,,config1,12,False,True,False,,,390.02,3656784,0,,,True
867,config1,road-roadNet-PA.mtx,road,ilp,,config1,16,False,True,False,,,402.38,3656100,0,,,True
86,config1,soc-dolphins.mtx,social,ilp,,config1,1,False,True,True,62.0,159.0,2.2,84636,0,124.0,1386.0,
190,config1,soc-dolphins.mtx,social,ilp,,config1,2,False,True,True,62.0,159.0,23.79,85436,0,124.0,452.0,
294,config1,soc-dolphins.mtx,social,ilp,,config1,3,True,True,True,,,3589.86,82804,0,,,
398,config1,soc-dolphins.mtx,social,ilp,,config1,4,True,True,True,,,3589.48,82808,0,,,
502,config1,soc-dolphins.mtx,social,ilp,,config1,6,True,True,True,,,3587.45,82776,0,,,
606,config1,soc-dolphins.mtx,social,ilp,,config1,8,True,True,True,,,3592.39,80788,0,,,
710,config1,soc-dolphins.mtx,social,ilp,,config1,10,True,True,True,,,3595.85,82792,0,,,
814,config1,soc-dolphins.mtx,social,ilp,,config1,12,True,True,True,,,3599.07,82784,0,,,
918,config1,soc-dolphins.mtx,social,ilp,,config1,16,True,True,True,,,3597.78,80744,0,,,
13,config1,soccer_ball.txt,geometric,ilp,,config1,1,False,True,True,32.0,90.0,1.3,52104,0,64.0,380.0,
117,config1,soccer_ball.txt,geometric,ilp,,config1,2,False,True,True,32.0,90.0,3.11,52268,0,64.0,604.0,
221,config1,soccer_ball.txt,geometric,ilp,,config1,3,False,True,True,32.0,90.0,167.71,51988,0,64.0,184.0,
325,config1,soccer_ball.txt,geometric,ilp,,config1,4,True,True,True,,,3559.16,49388,0,,,
429,config1,soccer_ball.txt,geometric,ilp,,config1,6,True,True,True,,,3599.53,49388,0,,,
533,config1,soccer_ball.txt,geometric,ilp,,config1,8,True,True,True,,,3600.67,49388,0,,,
637,config1,soccer_ball.txt,geometric,ilp,,config1,10,True,True,True,,,3599.51,49340,0,,,
741,config1,soccer_ball.txt,geometric,ilp,,config1,12,True,True,True,,,3600.11,49340,0,,,
845,config1,soccer_ball.txt,geometric,ilp,,config1,16,True,True,True,,,3600.14,49336,0,,,
90,config1,socfb-Amherst41.mtx,social,ilp,,config1,1,True,True,True,,,3598.71,1113432,0,,,
194,config1,socfb-Amherst41.mtx,social,ilp,,config1,2,True,True,True,,,3599.96,197848,0,,,
298,config1,socfb-Amherst41.mtx,social,ilp,,config1,3,True,True,True,,,3599.9,171524,0,,,
402,config1,socfb-Amherst41.mtx,social,ilp,,config1,4,True,True,True,,,3595.39,171536,0,,,
506,config1,socfb-Amherst41.mtx,social,ilp,,config1,6,True,True,True,,,3590.48,169480,0,,,
610,config1,socfb-Amherst41.mtx,social,ilp,,config1,8,True,True,True,,,3588.13,171516,0,,,
714,config1,socfb-Amherst41.mtx,social,ilp,,config1,10,True,True,True,,,3592.08,171532,0,,,
818,config1,socfb-Amherst41.mtx,social,ilp,,config1,12,True,True,True,,,3594.6,169484,0,,,
922,config1,socfb-Amherst41.mtx,social,ilp,,config1,16,True,True,True,,,3595.66,169500,0,,,
83,config1,socfb-Bowdoin47.mtx,social,ilp,,config1,1,True,True,True,,,3596.04,1034120,0,,,
187,config1,socfb-Bowdoin47.mtx,social,ilp,,config1,2,True,True,True,,,3597.91,193784,0,,,
291,config1,socfb-Bowdoin47.mtx,social,ilp,,config1,3,True,True,True,,,3597.9,166700,0,,,
395,config1,socfb-Bowdoin47.mtx,social,ilp,,config1,4,True,True,True,,,3599.94,166696,0,,,
499,config1,socfb-Bowdoin47.mtx,social,ilp,,config1,6,True,True,True,,,3598.9,164652,0,,,
603,config1,socfb-Bowdoin47.mtx,social,ilp,,config1,8,True,True,True,,,3599.72,166692,0,,,
707,config1,socfb-Bowdoin47.mtx,social,ilp,,config1,10,True,True,True,,,3599.61,166692,0,,,
811,config1,socfb-Bowdoin47.mtx,social,ilp,,config1,12,True,True,True,,,3598.61,164648,0,,,
915,config1,socfb-Bowdoin47.mtx,social,ilp,,config1,16,True,True,True,,,3599.59,164648,0,,,
99,config1,socfb-Caltech36.mtx,social,ilp,,config1,1,True,True,True,,,3594.09,615024,0,,,
203,config1,socfb-Caltech36.mtx,social,ilp,,config1,2,True,True,True,,,3590.38,118496,0,,,
307,config1,socfb-Caltech36.mtx,social,ilp,,config1,3,True,True,True,,,3583.33,100116,0,,,
411,config1,socfb-Caltech36.mtx,social,ilp,,config1,4,True,True,True,,,3591.37,100100,0,,,
515,config1,socfb-Caltech36.mtx,social,ilp,,config1,6,True,True,True,,,3591.13,100128,0,,,
619,config1,socfb-Caltech36.mtx,social,ilp,,config1,8,True,True,True,,,3592.38,100100,0,,,
723,config1,socfb-Caltech36.mtx,social,ilp,,config1,10,True,True,True,,,3597.12,100132,0,,,
827,config1,socfb-Caltech36.mtx,social,ilp,,config1,12,True,True,True,,,3588.09,100088,0,,,
931,config1,socfb-Caltech36.mtx,social,ilp,,config1,16,True,True,True,,,3599.84,98332,0,,,
85,config1,socfb-Colgate88.mtx,social,ilp,,config1,1,True,True,True,,,3599.05,1231248,0,,,
189,config1,socfb-Colgate88.mtx,social,ilp,,config1,2,True,True,True,,,3599.4,254780,0,,,
293,config1,socfb-Colgate88.mtx,social,ilp,,config1,3,True,True,True,,,3595.6,233856,0,,,
397,config1,socfb-Colgate88.mtx,social,ilp,,config1,4,True,True,True,,,3591.62,231812,0,,,
501,config1,socfb-Colgate88.mtx,social,ilp,,config1,6,True,True,True,,,3590.92,233860,0,,,
605,config1,socfb-Colgate88.mtx,social,ilp,,config1,8,True,True,True,,,3591.89,231808,0,,,
709,config1,socfb-Colgate88.mtx,social,ilp,,config1,10,True,True,True,,,3595.85,231808,0,,,
813,config1,socfb-Colgate88.mtx,social,ilp,,config1,12,True,True,True,,,3590.94,231808,0,,,
917,config1,socfb-Colgate88.mtx,social,ilp,,config1,16,True,True,True,,,3590.29,231812,0,,,
95,config1,socfb-Hamilton46.mtx,social,ilp,,config1,1,True,True,True,,,3599.24,1303148,0,,,
199,config1,socfb-Hamilton46.mtx,social,ilp,,config1,2,True,True,True,,,3589.63,198920,0,,,
303,config1,socfb-Hamilton46.mtx,social,ilp,,config1,3,True,True,True,,,3590.94,176996,0,,,
407,config1,socfb-Hamilton46.mtx,social,ilp,,config1,4,True,True,True,,,3588.07,177004,0,,,
511,config1,socfb-Hamilton46.mtx,social,ilp,,config1,6,True,True,True,,,3592.59,176992,0,,,
615,config1,socfb-Hamilton46.mtx,social,ilp,,config1,8,True,True,True,,,3592.05,177000,0,,,
719,config1,socfb-Hamilton46.mtx,social,ilp,,config1,10,True,True,True,,,3593.33,176992,0,,,
823,config1,socfb-Hamilton46.mtx,social,ilp,,config1,12,True,True,True,,,3592.23,174952,0,,,
927,config1,socfb-Hamilton46.mtx,social,ilp,,config1,16,True,True,True,,,3596.58,176996,0,,,
87,config1,socfb-Haverford76.mtx,social,ilp,,config1,1,True,True,True,,,3599.21,1118160,0,,,
191,config1,socfb-Haverford76.mtx,social,ilp,,config1,2,True,True,True,,,3599.93,195044,0,,,
295,config1,socfb-Haverford76.mtx,social,ilp,,config1,3,True,True,True,,,3600.03,138052,0,,,
399,config1,socfb-Haverford76.mtx,social,ilp,,config1,4,True,True,True,,,3599.42,138036,0,,,
503,config1,socfb-Haverford76.mtx,social,ilp,,config1,6,True,True,True,,,3599.6,138044,0,,,
607,config1,socfb-Haverford76.mtx,social,ilp,,config1,8,True,True,True,,,3594.94,140096,0,,,
711,config1,socfb-Haverford76.mtx,social,ilp,,config1,10,True,True,True,,,3591.76,138052,0,,,
815,config1,socfb-Haverford76.mtx,social,ilp,,config1,12,True,True,True,,,3588.63,138048,0,,,
919,config1,socfb-Haverford76.mtx,social,ilp,,config1,16,True,True,True,,,3592.68,138040,0,,,
88,config1,socfb-Mich67.mtx,social,ilp,,config1,1,True,True,True,,,3591.31,744288,0,,,
192,config1,socfb-Mich67.mtx,social,ilp,,config1,2,True,True,True,,,3588.04,168672,0,,,
296,config1,socfb-Mich67.mtx,social,ilp,,config1,3,True,True,True,,,3590.47,164492,0,,,
400,config1,socfb-Mich67.mtx,social,ilp,,config1,4,True,True,True,,,3591.68,164404,0,,,
504,config1,socfb-Mich67.mtx,social,ilp,,config1,6,True,True,True,,,3592.33,164412,0,,,
608,config1,socfb-Mich67.mtx,social,ilp,,config1,8,True,True,True,,,3593.5,166452,0,,,
712,config1,socfb-Mich67.mtx,social,ilp,,config1,10,True,True,True,,,3599.08,164656,0,,,
816,config1,socfb-Mich67.mtx,social,ilp,,config1,12,True,True,True,,,3598.76,166468,0,,,
920,config1,socfb-Mich67.mtx,social,ilp,,config1,16,True,True,True,,,3599.63,164664,0,,,
102,config1,socfb-Middlebury45.mtx,social,ilp,,config1,1,True,True,True,,,3599.21,1232568,0,,,
206,config1,socfb-Middlebury45.mtx,social,ilp,,config1,2,True,True,True,,,3599.59,222148,0,,,
310,config1,socfb-Middlebury45.mtx,social,ilp,,config1,3,True,True,True,,,3599.29,202656,0,,,
414,config1,socfb-Middlebury45.mtx,social,ilp,,config1,4,True,True,True,,,3597.74,202636,0,,,
518,config1,socfb-Middlebury45.mtx,social,ilp,,config1,6,True,True,True,,,3598.81,202640,0,,,
622,config1,socfb-Middlebury45.mtx,social,ilp,,config1,8,True,True,True,,,3598.9,202640,0,,,
726,config1,socfb-Middlebury45.mtx,social,ilp,,config1,10,True,True,True,,,3599.84,202636,0,,,
830,config1,socfb-Middlebury45.mtx,social,ilp,,config1,12,True,True,True,,,3599.89,202640,0,,,
934,config1,socfb-Middlebury45.mtx,social,ilp,,config1,16,True,True,True,,,3599.82,202648,0,,,
91,config1,socfb-Oberlin44.mtx,social,ilp,,config1,1,True,True,True,,,3588.96,900176,0,,,
195,config1,socfb-Oberlin44.mtx,social,ilp,,config1,2,True,True,True,,,3586.82,185268,0,,,
299,config1,socfb-Oberlin44.mtx,social,ilp,,config1,3,True,True,True,,,3587.56,169396,0,,,
403,config1,socfb-Oberlin44.mtx,social,ilp,,config1,4,True,True,True,,,3589.62,169384,0,,,
507,config1,socfb-Oberlin44.mtx,social,ilp,,config1,6,True,True,True,,,3590.74,169444,0,,,
611,config1,socfb-Oberlin44.mtx,social,ilp,,config1,8,True,True,True,,,3590.99,171436,0,,,
715,config1,socfb-Oberlin44.mtx,social,ilp,,config1,10,True,True,True,,,3597.36,171444,0,,,
819,config1,socfb-Oberlin44.mtx,social,ilp,,config1,12,True,True,True,,,3597.1,171440,0,,,
923,config1,socfb-Oberlin44.mtx,social,ilp,,config1,16,True,True,True,,,3599.68,169644,0,,,
92,config1,socfb-Pepperdine86.mtx,social,ilp,,config1,1,True,True,True,,,3591.32,1406300,0,,,
196,config1,socfb-Pepperdine86.mtx,social,ilp,,config1,2,True,True,True,,,3590.8,231456,0,,,
300,config1,socfb-Pepperdine86.mtx,social,ilp,,config1,3,True,True,True,,,3586.74,230548,0,,,
404,config1,socfb-Pepperdine86.mtx,social,ilp,,config1,4,True,True,True,,,3592.14,230544,0,,,
508,config1,socfb-Pepperdine86.mtx,social,ilp,,config1,6,True,True,True,,,3592.44,230540,0,,,
612,config1,socfb-Pepperdine86.mtx,social,ilp,,config1,8,True,True,True,,,3591.38,230540,0,,,
716,config1,socfb-Pepperdine86.mtx,social,ilp,,config1,10,True,True,True,,,3593.92,230540,0,,,
820,config1,socfb-Pepperdine86.mtx,social,ilp,,config1,12,True,True,True,,,3599.09,232568,0,,,
924,config1,socfb-Pepperdine86.mtx,social,ilp,,config1,16,True,True,True,,,3599.13,230544,0,,,
93,config1,socfb-Reed98.mtx,social,ilp,,config1,1,True,True,True,,,3591.09,597164,0,,,
197,config1,socfb-Reed98.mtx,social,ilp,,config1,2,True,True,True,,,3592.23,127128,0,,,
301,config1,socfb-Reed98.mtx,social,ilp,,config1,3,True,True,True,,,3589.18,101200,0,,,
405,config1,socfb-Reed98.mtx,social,ilp,,config1,4,True,True,True,,,3595.1,101196,0,,,
509,config1,socfb-Reed98.mtx,social,ilp,,config1,6,True,True,True,,,3598.99,101172,0,,,
613,config1,socfb-Reed98.mtx,social,ilp,,config1,8,True,True,True,,,3599.85,101188,0,,,
717,config1,socfb-Reed98.mtx,social,ilp,,config1,10,True,True,True,,,3600.11,101184,0,,,
821,config1,socfb-Reed98.mtx,social,ilp,,config1,12,True,True,True,,,3599.92,101192,0,,,
925,config1,socfb-Reed98.mtx,social,ilp,,config1,16,True,True,True,,,3600.09,101184,0,,,
98,config1,socfb-Simmons81.mtx,social,ilp,,config1,1,True,True,True,,,3592.92,734976,0,,,
